P10101,P10202,P10303,P10404,P10505,P10606,P10707,P10808,P20109,P20210,P20311,P20412,P20513,P20614,P20715,P30116,P30217,P30318,P40119,P40220,P40321,P40422,P40523,P40624,P40725,P50126,P50227,P50328,P50429,P50530,P50631,P60132,P60233,P60334,P60435,P70136,P70237,P70338
AL20239196,Cabrera,Guerrero,Luz,al20239196@universidad.edu.mx,luz.cabrera992@gmail.com,2289652973,28/01/2025,Ingeniería en Sistemas Computacionales,ISC-01,5,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"Menos de $5,000",El propio estudiante,Sí,30,No,"Apoyo familiar, Ahorro",No,NA,1440,Sí,Ninguno,Secundaria,Primaria,No,No,Sí,Sí,Sí
AL20239573,Morales,García,Ana Sofía,ana.morales@universidad.edu.mx,ana_morales@gmail.com,6138823504,16/01/2025,Ingeniería Industrial,IIN-06,5,Sí,4,Sí,Personal/Familiar,Beca de transporte,NA,64470,Con padres o tutores,6,"$5,001-$10,000",Padre,Sí,23,No,Apoyo familiar,No,NA,1501,No,Solo internet,Secundaria,Primaria,Sí,Sí,Sí,Sí,Sí
AL20240282,Galindo,Pacheco,Itzel,al20240282@universidad.edu.mx,itzelgalindo@gmail.com,5518527366,20/01/2025,Licenciatura en Contaduría Pública,LCP-03,4,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,En residencia estudiantil,6,"Menos de $5,000",Beca o apoyo gubernamental,No,NA,NA,Apoyo familiar,No,NA,851,No,Ninguno,Preparatoria,Sin estudios,Sí,No,Sí,Sí,No
AL20247907,Contreras,Mata,Raquel,raquel.contreras@universidad.edu.mx,raquel.contreras@gmail.com,5686218063,01/05/2025,Licenciatura en Administración de Empresas,LAE-02,1,Sí,3,No,NA,Beca de transporte,NA,09080,Con padres o tutores,5,"Menos de $5,000",Madre,Sí,11,Sí,"Apoyo familiar, Trabajo propio",No,NA,982,Sí,Sí a ambos,Primaria,Posgrado,No,Sí,Sí,Sí,Sí
AL20249131,Muñoz,Espinoza,Saúl,al20249131@universidad.edu.mx,saulmunoz@gmail.com,5514250839,17/05/2025,Licenciatura en Administración de Empresas,LAE-02,5,No,NA,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,5,"Menos de $5,000",Madre,Sí,16,Sí,Apoyo familiar,Sí,"Beca CONAFE, $1,600",1696,Sí,Ninguno,Posgrado,Preparatoria,No,Sí,Sí,Sí,Sí
AL20219875,Ortiz,Molina,Norma,norma.ortiz@universidad.edu.mx,norma.ortiz250@gmail.com,5631752909,14/01/2025,Licenciatura en Derecho,LDE-04,12,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"$10,001-$15,000",El propio estudiante,Sí,28,Sí,Trabajo propio,No,NA,882,No,Sí a ambos,Secundaria,Primaria,Sí,Sí,Sí,Sí,Sí
AL20220445,Herrera,Molina,Emilio,al20220445@universidad.edu.mx,emilio.herrera@gmail.com,5565717055,30/04/2025,Licenciatura en Contaduría Pública,LCP-03,10,No,NA,Sí,Económica,Beca de transporte,NA,54110,En residencia estudiantil,4,"Más de $25,000",Tutor,Sí,22,Sí,"Apoyo familiar, Trabajo propio",No,NA,1504,Sí,Sí a ambos,Primaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20252270,Cardenas,Pacheco,Luis Fernando,luis.cardenas@universidad.edu.mx,luis.cardenas881@gmail.com,3320101807,10/06/2025,Ingeniería en Sistemas Computacionales,ISC-01,3,Sí,1,No,NA,Beca de transporte,NA,44470,Con padres o tutores,6,"$10,001-$15,000",Padre,Sí,30,No,Trabajo propio,Sí,"Beca eclesiástica, $1,000",1565,Sí,Sí a ambos,Secundaria,Preparatoria,Sí,Sí,Sí,Sí,No
AL20238704,Hernández,Sánchez,Ariadna,ariadna.hernandez@universidad.edu.mx,ariadna.hernandez@gmail.com,5543603982,19/02/2025,Licenciatura en Derecho,LDE-04,6,Sí,3,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$10,001-$15,000",Otro familiar,Sí,19,No,Trabajo propio,No,NA,1011,Sí,Solo internet,Primaria,Preparatoria,No,No,Sí,Sí,Sí
AL20237301,Mata,Cortés,Dulce María,dulce.mata@universidad.edu.mx,dulce.mata@hotmail.com,5536278447,15/06/2025,Ingeniería Industrial,IIN-06,4,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$10,001-$15,000",Tutor,Sí,19,Sí,"Apoyo familiar, Beca de otra institución",Sí,"Beca Prospera, $1,400",1350,No,Sí a ambos,Primaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20218891,Lara,Villanueva,José Eduardo,al20218891@universidad.edu.mx,jose.lara411@gmail.com,5588209056,23/05/2025,Licenciatura en Administración de Empresas,LAE-02,12,Sí,3,Sí,Económica,Beca de transporte,NA,09620,Con padres o tutores,4,"$5,001-$10,000",Padre,Sí,25,Sí,"Apoyo familiar, Trabajo propio",Sí,"Beca eclesiástica, $1,000",1720,Sí,Sí a ambos,Secundaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20244550,Pérez,Rosales,Jessica,jessica.perez@universidad.edu.mx,jessica.perez@hotmail.com,5645449788,11/06/2025,Licenciatura en Contaduría Pública,LCP-03,3,No,NA,Sí,Laboral,Beca de colegiatura,7.4,NA,Con pareja,5,"Más de $25,000",El propio estudiante,Sí,37,No,Trabajo propio,No,NA,390,No,Sí a ambos,Secundaria,Preparatoria,No,No,Sí,Sí,Sí
AL20254071,Sánchez,Arellano,Salvador,salvador.sanchez@universidad.edu.mx,salvador.sanchez@gmail.com,5626318290,09/02/2025,Licenciatura en Psicología,LPS-05,1,Sí,1,No,NA,Beca de colegiatura,7.0,NA,Con padres o tutores,4,"Menos de $5,000",El propio estudiante,Sí,42,No,Trabajo propio,No,NA,443,No,Ninguno,Secundaria,Preparatoria,No,No,Sí,Sí,Sí
AL20237540,Cortés,Balderas,Pablo,pablo.cortes@universidad.edu.mx,pablo_cortes@gmail.com,4454960448,11/01/2025,Ingeniería en Sistemas Computacionales,ISC-01,6,Sí,3,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$10,001-$15,000",Padre,Sí,35,No,"Apoyo familiar, Trabajo propio",No,NA,312,No,Ninguno,Secundaria,Preparatoria,Sí,Sí,Sí,Sí,Sí
AL20203444,Rosales,León,Ana,ana.rosales@universidad.edu.mx,ana_rosales@gmail.com,8184494187,28/01/2025,Licenciatura en Derecho,LDE-04,11,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,1,"$15,001-$25,000",Otro familiar,No,NA,NA,Apoyo familiar,No,NA,1056,No,Sí a ambos,Primaria,Licenciatura,No,Sí,Sí,No,Sí
AL20246932,Cortés,Sánchez,Natalia,al20246932@universidad.edu.mx,natalia_cortes@gmail.com,3383670159,03/06/2025,Licenciatura en Derecho,LDE-04,1,Sí,2,Sí,Económica,Beca de transporte,NA,44650,Con padres o tutores,4,"$5,001-$10,000",Beca o apoyo gubernamental,Sí,37,Sí,"Apoyo familiar, Beca de otra institución",No,NA,2328,No,Sí a ambos,Secundaria,Preparatoria,Sí,No,Sí,Sí,No
AL20253074,Carmona,Navarro,Rodrigo,al20253074@universidad.edu.mx,rodrigocarmona@gmail.com,9950282661,12/04/2025,Ingeniería en Sistemas Computacionales,ISC-01,3,Sí,5,Sí,Personal/Familiar,Beca de colegiatura,7.0,NA,Con padres o tutores,7,"$10,001-$15,000",Tutor,No,NA,NA,Apoyo familiar,No,NA,1244,No,Ninguno,Primaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20253770,Bautista,Suárez,Gabriel,gabriel.bautista@universidad.edu.mx,gabr212@gmail.com,2220704123,29/03/2025,Ingeniería en Sistemas Computacionales,ISC-01,1,Sí,3,Sí,Económica,Beca de transporte,NA,55420,Con padres o tutores,6,"$5,001-$10,000",Madre,Sí,14,No,Apoyo familiar,Sí,"Apoyo de fundación privada, $2,000",1458,Sí,Sí a ambos,Licenciatura,Sin estudios,No,No,Sí,Sí,Sí
AL20234498,Campos,Galindo,Teresa,teresa.campos@universidad.edu.mx,teresacampos@yahoo.com,8134153875,28/06/2025,Licenciatura en Administración de Empresas,LAE-02,6,Sí,1,Sí,Económica,Beca de colegiatura,8.6,NA,En residencia estudiantil,6,"$5,001-$10,000",El propio estudiante,Sí,48,Sí,Trabajo propio,No,NA,795,No,Sí a ambos,Secundaria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20236919,Silva,Moreno,Valentina,valentina.silva@universidad.edu.mx,valentina977@gmail.com,5596130078,17/06/2025,Licenciatura en Administración de Empresas,LAE-02,6,Sí,1,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$5,001-$10,000",Padre,No,NA,NA,Apoyo familiar,No,NA,700,No,Solo internet,Licenciatura,Primaria,No,Sí,Sí,Sí,Sí
AL20234578,Herrera,Vargas,Cecilia,al20234578@universidad.edu.mx,cecilia.herrera273@gmail.com,6157125477,12/01/2025,Ingeniería en Mecatrónica,IMC-09,7,Sí,2,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$10,001-$15,000",Madre,No,NA,NA,"Apoyo familiar, Beca de otra institución",No,NA,754,Sí,Sí a ambos,Primaria,Sin estudios,Sí,Sí,Sí,Sí,Sí
AL20219521,Castillo,León,Rodrigo,al20219521@universidad.edu.mx,rodrigo823@gmail.com,8198218825,13/03/2025,Licenciatura en Administración de Empresas,LAE-02,9,Sí,2,Sí,Económica,Beca de transporte,NA,55420,Solo/a,3,"$5,001-$10,000",Madre,Sí,22,No,"Apoyo familiar, Trabajo propio",No,NA,800,Sí,Sí a ambos,Secundaria,Preparatoria,Sí,No,Sí,Sí,Sí
AL20239122,Galindo,Arellano,Iván,ivan.galindo@universidad.edu.mx,ivan725@gmail.com,6127805046,19/02/2025,Licenciatura en Administración de Empresas,LAE-02,6,Sí,2,Sí,Laboral,Beca de transporte,NA,54100,Con padres o tutores,4,"$10,001-$15,000",Madre,Sí,4,No,Trabajo propio,Sí,"Beca municipal, $1,000",1761,No,Ninguno,Licenciatura,Secundaria,No,Sí,Sí,Sí,Sí
AL20249672,Castro,Núñez,Rodrigo,rodrigo.castro@universidad.edu.mx,rodrigo.castro@yahoo.com,5567959612,10/02/2025,Licenciatura en Derecho,LDE-04,5,Sí,1,Sí,Personal/Familiar,Beca de inscripción/reinscripción,NA,NA,Con pareja,3,"$15,001-$25,000",Padre,No,NA,NA,Apoyo familiar,No,NA,501,No,Sí a ambos,Secundaria,Primaria,No,Sí,Sí,Sí,No
AL20254655,Zavala,Cabrera,Jorge,al20254655@universidad.edu.mx,jorge_zavala@hotmail.com,3333040131,08/05/2025,Ingeniería en Sistemas Computacionales,ISC-01,1,No,NA,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$10,001-$15,000",Tutor,Sí,17,No,"Apoyo familiar, Trabajo propio",No,NA,392,Sí,Sí a ambos,Posgrado,Secundaria,No,Sí,Sí,Sí,Sí
AL20244295,González,Silva,Ricardo,al20244295@universidad.edu.mx,ricardogonzalez@gmail.com,5580334122,23/03/2025,Ingeniería en Sistemas Computacionales,ISC-01,4,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"$5,001-$10,000",Padre,Sí,15,No,"Apoyo familiar, Trabajo propio",No,NA,742,Sí,Sí a ambos,Secundaria,Preparatoria,Sí,Sí,Sí,Sí,Sí
AL20254354,Castillo,Flores,Irma,irma.castillo@universidad.edu.mx,irma128@outlook.com,3315911196,10/06/2025,Licenciatura en Diseño Gráfico,LDG-08,3,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,2,"$5,001-$10,000",Padre,Sí,28,Sí,Trabajo propio,No,NA,27,No,Solo computadora,Secundaria,Secundaria,Sí,No,Sí,Sí,Sí
AL20224700,Soto,Serrano,María José,al20224700@universidad.edu.mx,maria.soto@hotmail.com,5582425867,26/01/2025,Licenciatura en Administración de Empresas,LAE-02,7,Sí,2,No,NA,Beca de transporte,NA,08020,Con padres o tutores,8+,"$10,001-$15,000",El propio estudiante,Sí,32,No,"Apoyo familiar, Ahorro",No,NA,1151,Sí,Solo internet,Secundaria,Primaria,Sí,No,Sí,Sí,Sí
AL20249888,Rivera,Ortiz,Carlos Eduardo,carlos.rivera@universidad.edu.mx,carlos.rivera299@hotmail.com,5635651522,27/02/2025,Ingeniería en Sistemas Computacionales,ISC-01,4,No,NA,Sí,Personal/Familiar,Beca de colegiatura,8.5,NA,Solo/a,5,"Menos de $5,000",Madre,Sí,14,No,Trabajo propio,No,NA,638,Sí,Solo internet,Primaria,Preparatoria,Sí,No,Sí,Sí,Sí
AL20227848,Morales,Delgado,Santiago,santiago.morales@universidad.edu.mx,santiago.morales@hotmail.com,3359849745,18/06/2025,Ingeniería Industrial,IIN-06,7,Sí,1,Sí,Económica,Beca de inscripción/reinscripción,NA,NA,Con pareja,1,"Menos de $5,000",Tutor,Sí,42,No,"Apoyo familiar, Beca de otra institución",No,NA,122,Sí,Ninguno,Secundaria,Primaria,No,Sí,Sí,Sí,Sí
AL20245195,Castro,Rodríguez,Rosa Elena,rosa.castro@universidad.edu.mx,rosa_castro@hotmail.com,6155834464,11/02/2025,Licenciatura en Mercadotecnia,LMK-07,5,Sí,1,Sí,Otra,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,4,"Menos de $5,000",Otro familiar,No,NA,NA,"Apoyo familiar, Trabajo propio",No,NA,999,Sí,Solo internet,Preparatoria,Primaria,Sí,Sí,Sí,Sí,Sí
AL20239960,Mendoza,Flores,Erika,al20239960@universidad.edu.mx,erika.mendoza@gmail.com,5571483905,21/01/2025,Licenciatura en Administración de Empresas,LAE-02,8,No,NA,Sí,Académica,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"Menos de $5,000",Otro familiar,Sí,25,Sí,"Apoyo familiar, Trabajo propio",Sí,"Beca académica de preparatoria, $800",825,No,Sí a ambos,Preparatoria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20246444,Morales,Fuentes,Carmen,carmen.morales@universidad.edu.mx,carmen.morales@yahoo.com,5541576135,10/04/2025,Ingeniería en Sistemas Computacionales,ISC-01,5,No,NA,No,NA,Beca de transporte,NA,07800,Con padres o tutores,2,"$10,001-$15,000",El propio estudiante,Sí,28,Sí,"Apoyo familiar, Trabajo propio",Sí,"Beca municipal, $1,000",854,Sí,Solo computadora,Preparatoria,Licenciatura,No,Sí,Sí,Sí,Sí
AL20238360,Sánchez,Camacho,Alicia,al20238360@universidad.edu.mx,alic983@gmail.com,2294102597,28/04/2025,Ingeniería en Mecatrónica,IMC-09,8,Sí,2,No,NA,Beca de colegiatura,8.8,NA,Con padres o tutores,4,"$5,001-$10,000",El propio estudiante,Sí,48,No,"Trabajo propio, Apoyo gubernamental",Sí,"Beca CONAFE, $1,600",1606,No,Solo computadora,Licenciatura,Preparatoria,No,Sí,Sí,Sí,Sí
AL20257201,Muñoz,González,Gustavo,al20257201@universidad.edu.mx,gustavo.munoz@gmail.com,5686709012,04/05/2025,Licenciatura en Contaduría Pública,LCP-03,3,No,NA,No,NA,Beca de colegiatura,9.5,NA,Con padres o tutores,5,"$15,001-$25,000",Otro familiar,Sí,17,Sí,"Apoyo familiar, Ahorro",Sí,"Apoyo de fundación privada, $3,500",495,No,Sí a ambos,Licenciatura,Secundaria,No,Sí,No,Sí,Sí
AL20213403,Reyes,Morales,Diana,al20213403@universidad.edu.mx,dianareyes@gmail.com,5581561409,24/01/2025,Licenciatura en Contaduría Pública,LCP-03,9,No,NA,Sí,Académica,Beca de colegiatura,9.6,NA,Con padres o tutores,4,"$15,001-$25,000",Padre,No,NA,NA,Apoyo familiar,No,NA,159,Sí,Sí a ambos,Secundaria,Preparatoria,Sí,Sí,Sí,Sí,Sí
AL20234091,Balderas,Ortiz,Norma,norma.balderas@universidad.edu.mx,norma.balderas@yahoo.com,2230465459,22/06/2025,Ingeniería en Sistemas Computacionales,ISC-01,6,Sí,1,Sí,Laboral,Beca de colegiatura,8.7,NA,Solo/a,5,"Menos de $5,000",Padre,Sí,15,No,"Apoyo familiar, Trabajo propio",No,NA,1924,Sí,Ninguno,Secundaria,Preparatoria,Sí,No,Sí,Sí,Sí
AL20257917,Martínez,López,Raúl,al20257917@universidad.edu.mx,raul_martinez@gmail.com,2281316903,09/01/2025,Licenciatura en Administración de Empresas,LAE-02,3,Sí,3,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Solo/a,7,"Menos de $5,000",El propio estudiante,Sí,27,Sí,"Apoyo familiar, Trabajo propio",No,NA,1380,Sí,Sí a ambos,Secundaria,Secundaria,No,Sí,Sí,Sí,Sí
AL20229287,Sánchez,Valencia,Cristian,cristian.sanchez@universidad.edu.mx,cristian.sanchez@gmail.com,5696470924,17/01/2025,Licenciatura en Derecho,LDE-04,9,Sí,1,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,3,"Más de $25,000",Padre,Sí,19,Sí,"Apoyo familiar, Trabajo propio",No,NA,150,Sí,Sí a ambos,Preparatoria,Preparatoria,No,Sí,Sí,Sí,No
AL20244862,Rodríguez,López,Cecilia,cecilia.rodriguez@universidad.edu.mx,ceciliarodriguez@yahoo.com,3310153826,30/03/2025,Ingeniería en Sistemas Computacionales,ISC-01,4,Sí,4,No,NA,Beca de colegiatura,8.8,NA,Con padres o tutores,4,"$5,001-$10,000",Otro familiar,Sí,34,No,"Apoyo familiar, Trabajo propio",Sí,"Beca Prospera, $1,400",206,Sí,Sí a ambos,Preparatoria,Posgrado,No,No,No,Sí,Sí
AL20235150,Ortiz,Álvarez,Renata,renata.ortiz@universidad.edu.mx,renata.ortiz@outlook.com,3392044316,01/01/2025,Licenciatura en Derecho,LDE-04,7,Sí,4,Sí,Económica,Beca de colegiatura,8.2,NA,Con padres o tutores,4,"$15,001-$25,000",Madre,No,NA,NA,Trabajo propio,No,NA,719,No,Sí a ambos,Preparatoria,Secundaria,Sí,No,Sí,Sí,Sí
AL20204908,Moreno,Rosales,Brenda,al20204908@universidad.edu.mx,brenda_moreno@gmail.com,8127160887,28/04/2025,Ingeniería en Mecatrónica,IMC-09,11,Sí,1,No,NA,Beca de transporte,NA,09720,Con padres o tutores,5,"$5,001-$10,000",El propio estudiante,Sí,39,No,"Apoyo familiar, Trabajo propio",Sí,"Jóvenes Escribiendo el Futuro, $2,575",1525,No,Solo computadora,Secundaria,Primaria,Sí,Sí,Sí,Sí,Sí
AL20253663,Lara,Coronado,Silvia,al20253663@universidad.edu.mx,silvia.lara@gmail.com,3331967251,12/05/2025,Ingeniería en Mecatrónica,IMC-09,1,Sí,3,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,5,"$5,001-$10,000",Padre,Sí,25,Sí,"Apoyo familiar, Beca de otra institución",No,NA,1197,No,Ninguno,Secundaria,Posgrado,No,Sí,Sí,Sí,Sí
AL20235019,Pérez,Ibarra,Sofía,al20235019@universidad.edu.mx,sofia353@gmail.com,5583482506,12/03/2025,Ingeniería en Sistemas Computacionales,ISC-01,6,No,NA,No,NA,Beca de colegiatura,9.0,NA,Con padres o tutores,7,"$15,001-$25,000",Padre,No,NA,NA,Trabajo propio,Sí,"Beca SEP, $1,800",966,No,Sí a ambos,Secundaria,Preparatoria,No,No,No,Sí,Sí
AL20243026,Cervantes,Bautista,Jessica,al20243026@universidad.edu.mx,jessica_cervantes@yahoo.com,8139224676,05/05/2025,Licenciatura en Enfermería,LEN-10,4,No,NA,No,NA,Beca de transporte,NA,09010,Con padres o tutores,3,"$10,001-$15,000",Padre,Sí,27,No,Apoyo familiar,Sí,"Beca municipal, $1,000",1602,Sí,Ninguno,Primaria,Licenciatura,No,Sí,Sí,Sí,No
AL20233184,Ruiz,Mejía,Santiago,al20233184@universidad.edu.mx,santiago_ruiz@gmail.com,4439577537,04/03/2025,Ingeniería en Sistemas Computacionales,ISC-01,6,Sí,1,Sí,Académica,Beca de colegiatura,8.5,NA,Con padres o tutores,6,"$5,001-$10,000",Madre,Sí,36,Sí,"Apoyo familiar, Trabajo propio",No,NA,536,No,Solo internet,Posgrado,Secundaria,No,No,Sí,Sí,Sí
AL20259674,Galindo,Sánchez,Renata,al20259674@universidad.edu.mx,rengal@gmail.com,3338826884,12/05/2025,Licenciatura en Administración de Empresas,LAE-02,3,No,NA,No,NA,Beca de colegiatura,7.0,NA,Solo/a,3,"$15,001-$25,000",Padre,Sí,23,No,"Apoyo familiar, Trabajo propio",Sí,"Beca municipal, $1,000",1162,No,Sí a ambos,Sin estudios,Secundaria,Sí,Sí,No,Sí,Sí
AL20240876,Silva,Arellano,Verónica,veronica.silva@universidad.edu.mx,veronica.silva@hotmail.com,5526396109,22/01/2025,Licenciatura en Administración de Empresas,LAE-02,5,Sí,2,Sí,Laboral,Beca de inscripción/reinscripción,NA,NA,Con otros familiares,4,"$10,001-$15,000",Madre,Sí,19,No,Apoyo familiar,Sí,"Beca IMJUVE, $1,800",1042,Sí,Solo computadora,Licenciatura,Primaria,No,Sí,Sí,Sí,Sí
AL20259588,Morales,Espinoza,Uriel,uriel.morales@universidad.edu.mx,urimor@gmail.com,3398683027,05/05/2025,Licenciatura en Enfermería,LEN-10,1,No,NA,No,NA,Beca de inscripción/reinscripción,NA,NA,Con padres o tutores,8+,"Menos de $5,000",El propio estudiante,Sí,33,Sí,"Apoyo familiar, Ahorro",No,NA,1188,No,Sí a ambos,Secundaria,Secundaria,Sí,No,No,Sí,Sí
