SID,TELEFONO,TIPO_TEL,FECHA_ACT
54,5615696847,Celular,2024-05-18
54,5615348591,Casa,2024-02-10
55,4453703092,Celular,2025-01-27
55,4434452301,Casa,2024-01-31
56,8122709664,Celular,2024-02-09
57,5650700512,Celular,2024-06-03
57,5686052767,Casa,2024-07-04
58,5678263099,Celular,2024-02-27
59,8135800938,Celular,2024-10-11
59,8113340911,Casa,2024-03-17
60,4498879387,Celular,2024-11-19
60,4434641883,Casa,2024-08-30
61,2256837945,Celular,2024-09-12
61,2257869135,Casa,2024-07-05
62,5546994234,Celular,2025-01-31
63,3374248572,Celular,2024-04-10
63,3391037656,Casa,2024-11-26
64,5542851410,Celular,2024-10-26
65,8110461755,Celular,2024-11-30
66,5596899722,Celular,2024-01-30
66,5552825940,CASA,2024-09-21
67,8121757642,Celular,2024-07-24
67,8132035312,Casa,2024-05-15
68,8186073544,Celular,2024-04-17
68,8132698364,Casa,2024-05-09
69,5532164536,Celular,2024-02-23
70,5550387495,Celular,2024-12-03
71,5574764204,Celular,2024-08-20
71,5540399637,Casa,2024-03-11
72,2217836054,Celular,2024-06-16
72,2210009850,Casa,2024-06-13
73,5576949750,Celular,2024-08-07
74,5526566010,Celular,2024-09-11
74,5572412847,Casa,2024-10-15
75,5596716820,Celular,2024-05-21
76,3314308503,Celular,2024-03-25
77,5550675052,Celular,2024-12-25
78,5571611558,Celular,2024-06-21
79,5510182862,Celular,2024-04-02
79,5596415426,Casa,2024-05-11
80,5575585408,Celular,2024-08-26
81,5578722002,Celular,2024-01-13
82,8196138652,Celular,2024-01-08
82,8194981202,Casa,2024-08-20
83,5536729671,Celular,2024-01-16
84,5565144759,Celular,2024-05-10
85,3396752705,Celular,2024-06-22
86,3383639968,Celular,2024-12-12
86,3343929965,Casa,2024-09-29
87,5593026942,Celular,2024-02-15
87,5522644780,Fijo,2024-02-23
88,4419401401,Celular,2024-06-14
89,3360667073,Celular,2024-04-21
89,3345132151,Casa,2024-01-31
90,5536444054,Celular,2024-02-18
90,5582835513,Casa,2024-09-25
91,5565249068,Celular,2024-04-25
91,5583472229,Casa,2024-05-02
92,3382863471,Celular,2024-04-22
92,3368325986,Fijo,2024-09-10
93,5659533362,Celular,2024-06-21
94,4472414223,Celular,2024-06-04
94,4420533571,Casa,2024-06-26
95,8140947396,Celular,2024-08-01
96,5547855206,Celular,2024-03-15
96,5533460705,Casa,2024-07-11
97,5587388743,Celular,2024-08-14
98,4468434335,Celular,2024-09-13
99,3389415826,Celular,2024-11-17
100,5664987382,Celular,2024-12-16
100,5671584733,Casa,2024-07-19
101,8116744643,Celular,2024-10-31
102,5510716414,Celular,2024-02-04
103,5520480122,Celular,2024-02-14
103,5585890236,Casa,2025-01-15
104,5612053529,Celular,2024-08-19
105,5552075223,Celular,2024-08-27
106,8178906651,Celular,2024-12-04
107,44301323140,Celular,2024-03-10
108,3353679737,Celular,2024-09-27
109,5585151380,Celular,2024-08-29
110,2293434038,Celular,2024-04-02
110,2210854390,Casa,2024-09-25
111,5553177704,Celular,2024-09-22
112,5589385096,Celular,2024-11-02
113,3360564776,Celular,2024-09-07
114,008173563393,Celular,2024-03-22
115,5571147033,Celular,2024-01-19
115,5587147070,casa,2024-11-13
116,5588611760,Celular,2024-01-23
116,5575811632,casa,2024-10-18
117,005531491797,Celular,2024-08-25
117,5531404369,Casa,2024-03-17
118,4418022373,Celular,2024-06-28
119,5599910250,Celular,2024-01-21
120,5558448994,Celular,2024-07-16
120,5580986670,Casa,2024-04-18
121,5512999872,Celular,2024-11-11
121,5537004408,Casa,2024-05-15
122,(44) 53967866,Celular,2024-09-06
123,8141884953,Celular,2024-03-29
124,5614509609,Celular,2025-01-14
125,8187124708,Celular,2024-01-25
126,5533937343,Celular,2024-03-27
127,5532436513,Celular,2024-04-29
127,5544065036,Casa,2024-10-18
128,5583299733,Celular,2025-01-07
129,5563964454,Celular,2024-08-17
130,5578978919,Celular,2025-01-07
130,5570481648,Casa,2024-07-29
131,5565637721,Celular,2024-10-03
131,5552251592,Casa,2025-01-18
132,3375232363,Celular,2024-11-28
133,3353476532,Celular,2024-07-12
134,5646017986,Celular,2024-11-28
135,3313130873,Celular,2024-11-25
136,5679025629,Celular,2024-04-28
137,8119110046,Celular,2024-02-21
137,8166880163,Casa,2024-07-11
138,5625956432,Celular,2024-12-24
138,5658473981,Casa,2024-02-07
139,8110539225,Celular,2024-03-02
140,5529111582,Celular,2024-08-08
140,5516433189,Casa,2024-08-18
141,5563446506,Celular,2024-07-07
141,5521614832,Casa,2024-04-14
142,5563315736,Celular,2024-09-22
142,5591573358,Casa,2024-06-16
143,5542993234,Celular,2024-04-27
143,5595848491,Casa,2024-03-15
144,5569382631,Celular,2024-06-26
145,5617366436,Celular,2024-03-17
146,,Celular,2024-01-16
146,5595532696,Casa,2024-12-24
147,2299647172,Celular,2024-12-14
148,3364031049,Celular,2024-11-19
148,3339710964,casa,2024-02-16
149,4437125390,Celular,2024-05-27
150,5514163853,Celular,2024-01-06
151,5556576488,Celular,2024-03-08
151,5551805996,Casa,2024-12-11
152,5511025636,Celular,2024-08-21
152,5566085732,Casa,2024-03-14
153,4429214284,Celular,2024-04-16
154,3350318425,Celular,2024-11-10
155,5619277490,Celular,2024-11-26
155,5649342539,Casa,2024-04-16
156,3326522287,Celular,2024-09-05
157,5632468019,Celular,2024-09-27
157,5655858177,Casa,2024-11-05
158,5579252988,Celular,2024-04-08
158,5553286651,casa,2024-12-22
159,5520794097,Celular,2024-09-30
159,5592340460,Casa,2024-04-23
160,3388168809,Celular,2024-01-06
161,8149809250,Celular,2024-12-07
162,5551000065,Celular,2024-03-17
163,3368881350,Celular,2024-11-12
164,5575542380,Celular,2024-03-09
164,5581479447,Casa,2024-07-05
165,2283300591,Celular,2024-05-05
165,2239924092,Casa,2024-02-19
166,5558651221,Celular,2024-10-21
166,5563209157,Casa,2024-09-29
167,4473836476,Celular,2024-08-24
168,5574132467,Celular,2024-03-31
169,3325471903,Celular,2024-02-02
169,3350980104,Casa,2024-01-21
170,5585273013,Celular,2024-11-28
170,5544006438,Casa,2024-08-15
171,4499534521,Celular,2024-07-28
171,4480057595,Casa,2024-12-29
172,3362349507,Celular,2024-02-06
173,4453588951,Celular,2024-08-27
173,4431064475,Casa,2024-09-06
174,2285684971,Celular,2024-08-14
175,3354653563,Celular,2024-12-20
176,5573820190,Celular,2024-12-02
177,5565417427,Celular,2024-12-13
178,5555402096,Celular,2025-01-02
179,5512211088,Celular,2024-02-16
180,,Celular,2024-01-17
181,5558455507,Celular,2024-01-11
182,5522575036,Celular,2024-06-03
182,5562702677,Casa,2025-01-26
183,3313374056,Celular,2024-09-05
183,3375792654,Casa,2024-07-04
184,2278253542,Celular,2025-01-07
184,2246531126,Casa,2024-02-06
185,5545117887,Celular,2024-12-27
186,8163281449,Celular,2024-10-11
187,5599677980,Celular,2024-12-14
188,3333765749,Celular,2024-02-19
189,5554036677,Celular,2024-06-21
190,5522362638,Celular,2024-12-02
190,5531039604,Casa,2024-02-02
191,5565208374,Celular,2024-12-10
191,5550837517,Casa,2024-11-21
192,5699704308,Celular,2024-12-23
192,5637689050,Casa,2024-07-20
193,5517133969,Celular,2024-01-14
193,5575984769,Casa,2024-11-06
194,5685379454,Celular,2024-12-09
194,5648518765,Casa,2024-07-30
195,5523054284,Celular,2024-01-15
195,5582257973,Casa,2024-12-19
196,8150960416,Celular,2024-07-23
197,3385658831,Celular,2024-01-07
198,5549343542,Celular,2024-01-29
198,5591677129,Casa,2024-10-18
199,5510786474,Celular,2024-12-13
199,5584225047,Casa,2024-06-14
200,5625077761,Celular,2024-01-02
201,5560456589,Celular,2024-11-21
202,4494915433,Celular,2024-09-26
203,5593176462,Celular,2024-01-08
203,5556942360,Casa,2024-05-09
204,8144359782,Celular,2025-01-02
204,8130645106,Casa,2024-09-18
205,3374744956,Celular,2024-05-05
206,5554763028,Celular,2024-01-16
206,5526359853,Casa,2025-01-21
207,5513924354,Celular,2025-01-13
208,5543259310,Celular,2025-02-01
209,5559507702,Celular,2024-07-05
210,5599056987,Celular,2024-08-16
211,5551201328,Celular,2024-05-11
212,5549805655,Celular,2024-12-21
212,5555892629,Fijo,2024-11-29
213,5568485380,Celular,2024-11-27
214,5570885672,Celular,2024-03-19
214,5546714119,Casa,2024-09-22
215,5511609800,Celular,2024-07-21
216,5580638583,Celular,2024-05-18
216,5567744237,Casa,2024-11-20
217,5625768027,Celular,2024-04-05
218,4448925116,Celular,2024-01-15
218,4487785976,Casa,2024-03-16
219,5670562846,Celular,2024-01-26
220,22705798,Celular,2024-03-22
221,5553973441,Celular,2024-10-19
221,5534420491,CASA,2025-01-02
222,5541117736,Celular,2024-01-31
222,5571910324,Casa,2025-01-05
223,8138926552,Celular,2024-12-15
224,4447028444,Celular,2024-06-26
225,5668454266,Celular,2024-04-03
226,5554857709,Celular,2024-10-28
227,5567934477,Celular,2024-05-01
227,5517596637,Casa,2024-06-24
228,,Celular,2024-03-05
229,5518574988,Celular,2024-05-08
230,3347428729,Celular,2024-06-21
230,3315097092,Casa,2024-01-02
231,5512863061,Celular,2024-10-28
232,5557251910,Celular,2024-03-26
232,5534514066,Casa,2024-06-28
233,3391161498,Celular,2024-11-21
234,5672384097,Celular,2024-04-07
235,2273723302,Celular,2024-06-14
235,2251621576,Casa,2024-04-20
236,5537405467,Celular,2024-08-15
236,5587068440,Casa,2024-03-22
237,8127689305,Celular,2024-04-15
238,4443369430,Celular,2024-11-12
238,4470233447,casa,2025-01-02
239,8147856326,Celular,2024-10-01
240,2264279393,Celular,2024-12-02
241,5571400262,Celular,2024-11-01
242,8140353132,Celular,2024-09-17
243,5556066194,Celular,2024-08-13
244,55923612,Celular,2024-02-12
245,3321548480,Celular,2024-10-30
245,3394118815,Casa,2024-03-27
246,5660625707,Celular,2024-09-24
247,5518007282,Celular,2024-08-04
248,5573951852,Celular,2025-01-27
249,5592278711,Celular,2024-08-14
250,5534967338,Celular,2024-02-21
251,5591964489,Celular,2024-04-09
251,5512006408,CASA,2024-04-14
252,3353408724,Celular,2024-12-04
253,5546124036,Celular,2024-12-03
254,8146925410,Celular,2024-06-23
254,8160848839,Casa,2024-02-17
255,2261108743,Celular,2024-12-07
256,5681644299,Celular,2024-06-24
257,44364757500,Celular,2024-07-10
258,5574523872,Celular,2025-01-24
259,3347330992,Celular,2024-05-17
260,5576957859,Celular,2024-07-08
260,5534280414,Casa,2024-09-19
261,5514730465,Celular,2024-05-10
261,5524991531,Casa,2024-01-23
262,5554605305,Celular,2024-04-05
263,5548641048,Celular,2024-06-20
264,8113312090,Celular,2024-07-07
264,8129758477,Casa,2024-04-14
265,55389132760,Celular,2024-05-06
266,3357191098,Celular,2025-01-14
267,3345985102,Celular,2024-09-30
268,3372063028,Celular,2024-11-27
268,3365531169,Casa,2024-09-30
269,8110989756,Celular,2025-01-11
269,8147849446,Casa,2024-07-14
270,5534119325,Celular,2024-02-26
270,5528727132,Casa,2024-12-17
271,5557089480,Celular,2024-11-21
272,4437208212,Celular,2025-01-12
273,8135699163,Celular,2024-10-26
273,8193347563,Casa,2024-10-23
274,5578171437,Celular,2024-01-24
274,5561450213,Casa,2024-01-07
275,2222652757,Celular,2024-08-21
275,2266087868,Fijo,2024-06-23
276,4485041886,Celular,2024-02-16
276,4471903958,Casa,2025-01-29
277,5690004121,Celular,2024-10-29
277,5633770194,Casa,2024-07-11
278,8186309463,Celular,2024-07-14
279,2242740170,Celular,2024-11-14
279,2277710816,Casa,2024-04-04
280,3355885555,Celular,2024-09-05
280,3335655818,Casa,2024-11-13
281,5670871981,Celular,2024-05-08
281,5637705838,Casa,2024-08-23
282,5522810199,Celular,2024-05-26
282,5540665719,Casa,2024-01-10
283,2260970790,Celular,2024-12-30
283,2237928165,Casa,2024-10-04
284,5685927331,Celular,2024-04-30
285,3365972485,Celular,2024-11-09
285,3323684251,casa,2024-11-02
286,002256171576,Celular,2024-05-08
287,5533827971,Celular,2024-02-21
287,5578202770,Fijo,2024-02-05
288,3359714872,Celular,2024-02-01
288,3349251546,Casa,2024-08-28
289,5597072179,Celular,2024-07-20
290,2223837593,Celular,2024-10-19
290,2254573754,Casa,2024-11-22
291,5510641051,Celular,2024-04-18
292,5665406686,Celular,2024-01-29
293,3363722209,Celular,2024-04-17
293,3358710215,Casa,2024-10-11
294,8151436920,Celular,2024-07-13
294,8120228901,Casa,2024-05-10
295,5664794312,Celular,2024-10-09
295,5660219441,Casa,2024-09-07
296,5531304328,Celular,2024-01-03
296,5520792246,Casa,2024-12-14
297,5631594606,Celular,2024-06-30
297,5691778352,Casa,2024-01-28
298,5520697945,Celular,2024-11-10
298,5534107280,Casa,2024-11-19
299,3329755784,Celular,2025-01-21
299,3398043152,Casa,2024-08-04
300,4412786618,Celular,2024-10-19
301,5557328016,Celular,2024-09-30
301,5532470045,Casa,2024-11-24
302,5538163276,Celular,2024-06-08
303,5659605542,Celular,2024-10-20
303,5656665292,Casa,2024-05-12
304,5570989576,Celular,2024-05-19
304,5522347000,Casa,2024-01-18
305,5546481997,Celular,2024-10-12
305,5526521523,Casa,2024-06-06
306,5511680924,Celular,2024-09-08
307,4446003027,Celular,2024-10-08
308,5530490544,Celular,2024-11-08
309,5527609288,Celular,2024-08-08
310,5537430130,Celular,2025-01-27
310,5585117812,Casa,2024-01-04
311,5614594935,Celular,2024-04-21
312,5553265874,Celular,2024-07-07
313,5532462933,Celular,2024-05-27
313,5528901948,Casa,2024-06-19
314,5578681866,Celular,2024-02-15
314,5565046293,Casa,2024-12-10
315,3338742300,Celular,2024-07-08
315,3351590691,Casa,2025-01-12
316,5515106968,Celular,2024-12-18
317,2222878034,Celular,2025-01-10
318,5627163055,Celular,2024-04-28
318,5647919669,Casa,2024-03-14
319,3330343090,Celular,2024-09-15
319,3387189563,Casa,2024-02-15
320,5623957261,Celular,2024-07-25
320,5649999038,Casa,2024-04-17
321,5512928189,Celular,2024-11-07
321,5586594630,Casa,2024-10-26
322,4452542937,Celular,2024-04-26
323,5562996217,Celular,2024-01-07
324,5565048015,Celular,2024-06-19
324,5524690050,Casa,2024-06-30
325,3360438850,Celular,2024-01-07
325,3369159509,Casa,2024-08-21
326,8124890140,Celular,2024-11-29
327,5530184276,Celular,2024-09-16
327,5569503806,Casa,2024-03-19
328,5576693880,Celular,2024-09-01
328,5594702105,casa,2024-11-05
329,5562764038,Celular,2024-03-10
329,5559704687,Casa,2024-01-17
330,4494688353,Celular,2024-08-10
331,5538046036,Celular,2024-11-30
331,5526849938,Casa,2024-12-31
332,5554611832,Celular,2025-01-18
333,5676056012,Celular,2024-04-30
333,5664193590,Casa,2025-01-04
334,3383707195,Celular,2024-07-24
334,3351084895,Casa,2025-01-20
335,8159371351,Celular,2024-04-14
336,5653161669,Celular,2024-01-27
336,5631695415,Casa,2024-07-26
337,4420731680,Celular,2024-09-21
338,5514305622,Celular,2024-11-17
339,5527137857,Celular,2024-07-01
340,8140854236,Celular,2024-08-09
341,2294454257,Celular,2025-02-01
342,2291584385,Celular,2024-10-18
343,5551255594,Celular,2024-02-27
343,5533074264,Casa,2024-10-30
344,5519939780,Celular,2025-01-25
344,5541128036,Casa,2024-05-15
345,2230108553,Celular,2024-10-04
346,3341528553,Celular,2024-08-19
346,3353952831,Casa,2024-09-16
347,5577079908,Celular,2024-10-06
348,8170592421,Celular,2024-10-12
349,5558589375,Celular,2024-04-06
350,4470645323,Celular,2024-12-21
351,5522425553,Celular,2024-05-28
352,5512361707,Celular,2024-08-02
353,5681148218,Celular,2024-03-08
353,5662174047,Casa,2024-01-05
354,2250221083,Celular,2024-12-13
355,5549704786,Celular,2024-09-24
356,5575403084,Celular,2024-01-11
357,5666586302,Celular,2024-05-24
357,5630050403,Casa,2024-03-01
358,4460785601,Celular,2025-01-15
358,4432145986,Casa,2024-04-30
359,5597889724,Celular,2024-09-29
360,5699371793,Celular,2024-09-15
361,5519606163,Celular,2024-05-27
362,(81) 83913914,Celular,2024-04-22
362,8190152387,Casa,2024-05-28
363,5550298536,Celular,2024-08-12
364,4481972585,Celular,2024-09-16
365,8195303385,Celular,2024-01-12
365,8199200696,Casa,2024-12-23
366,5676131776,Celular,2024-07-30
367,2225532441,Celular,2024-04-03
368,5631110106,Celular,2024-12-19
369,2289225968,Celular,2024-04-19
370,5572103878,Celular,2024-09-10
371,2222063555,Celular,2024-05-04
371,2221234576,Casa,2024-01-25
372,3336909464,Celular,2024-01-27
372,3393540804,Casa,2024-04-27
373,5537369446,Celular,2024-12-16
374,5588716773,Celular,2024-03-20
375,5517545927,Celular,2024-10-31
375,5580879928,Casa,2024-01-31
376,5535116304,Celular,2025-01-16
377,3361507578,Celular,2024-07-27
378,5531054387,Celular,2024-11-04
378,5552540593,Casa,2024-02-06
379,5660287559,Celular,2024-06-14
379,5626027859,Casa,2024-06-03
380,4490839327,Celular,2024-02-20
380,4440702559,Casa,2024-09-29
381,5575033488,Celular,2025-01-31
381,5515466352,casa,2024-05-26
382,5579434051,Celular,2024-02-28
383,5517936563,Celular,2024-09-21
384,2282190374,Celular,2024-02-16
385,5596511916,Celular,2024-02-04
386,4425808900,Celular,2024-03-28
386,4475136999,Casa,2024-07-11
387,2221669862,Celular,2024-12-23
388,5595894281,Celular,2024-10-06
388,5569909475,Casa,2024-12-29
389,5690090365,Celular,2024-03-06
389,5640855583,Casa,2024-02-25
390,3361083779,Celular,2024-10-31
390,3357111535,Casa,2024-12-14
391,3399521762,Celular,2024-05-17
391,3381305831,Casa,2024-08-27
392,5522701984,Celular,2024-07-11
392,5530883743,Casa,2024-05-05
393,22123461360,Celular,2024-01-13
393,2296280041,Casa,2025-01-05
394,4430758448,Celular,2024-10-24
395,4414844870,Celular,2024-11-03
396,8122872026,Celular,2024-04-22
397,3370384426,Celular,2024-08-26
398,,Celular,2024-01-25
399,2290629686,Celular,2024-12-02
399,2291832898,Casa,2024-10-09
400,8196229465,Celular,2024-02-05
400,8179156369,Casa,2024-06-08
401,5556950026,Celular,2024-07-01
402,5558240623,Celular,2024-08-27
402,5578240927,Casa,2024-11-02
403,8116768527,Celular,2024-12-20
403,8129754249,Casa,2024-02-03
404,5535165311,Celular,2024-03-06
404,5578400331,Casa,2024-10-22
405,5524187604,Celular,2024-11-20
406,5567982276,Celular,2024-04-18
407,,Celular,2024-11-23
408,5536725590,Celular,2024-07-17
409,5526442964,Celular,2024-04-16
410,5547059069,Celular,2024-01-28
411,5677854992,Celular,2024-10-28
412,8146950638,Celular,2024-10-21
413,5598653367,Celular,2024-01-31
414,5531117130,Celular,2024-06-30
415,5662402051,Celular,2024-09-17
416,8194945338,Celular,2024-09-23
417,4442292216,Celular,2024-09-11
417,4488830770,Casa,2024-06-11
418,5686165637,Celular,2024-01-12
419,5640312644,Celular,2024-07-01
419,5671698204,Casa,2024-04-16
420,5575312449,Celular,2025-02-01
420,5591078313,Casa,2024-12-30
421,5566073070,Celular,2024-04-16
422,2271249485,Celular,2025-01-28
423,2231586940,Celular,2024-09-30
423,2253433139,Casa,2025-01-17
424,4419435256,Celular,2025-01-30
425,5545284817,Celular,2024-12-31
425,5583433315,Casa,2024-11-08
426,2238427235,Celular,2024-02-22
427,33983607,Celular,2024-07-16
428,4440631987,Celular,2024-03-13
428,4433279187,Casa,2024-09-17
429,5515515672,Celular,2024-10-25
430,5510540605,Celular,2024-07-24
431,4437574702,Celular,2024-12-27
432,8141126984,Celular,2024-12-29
432,8170812537,Casa,2024-10-08
433,8172559967,Celular,2024-06-14
434,55433902330,Celular,2025-01-06
435,5574810767,Celular,2024-09-07
436,4485548213,Celular,2024-09-30
437,8158185091,Celular,2024-09-10
438,3376201122,Celular,2024-08-04
439,5584942254,Celular,2024-06-21
439,5577993010,Casa,2024-08-05
440,5533784805,Celular,2024-03-26
441,5661715586,Celular,2024-07-08
442,8137734157,Celular,2024-08-05
443,2259681803,Celular,2024-10-21
444,5543060771,Celular,2024-08-11
445,5586271957,Celular,2024-08-15
446,5512306412,Celular,2025-01-10
446,5549235876,Casa,2024-07-20
447,5516010122,Celular,2024-06-12
447,5517638008,Casa,2024-06-29
448,55270185720,Celular,2024-04-22
449,2237352867,Celular,2024-02-01
449,2271827546,Casa,2024-12-12
450,3381301775,Celular,2024-08-01
451,2244007412,Celular,2024-01-08
452,5631200578,Celular,2024-02-29
453,5542520947,Celular,2024-11-18
454,5531984442,Celular,2024-09-07
454,5581043206,Casa,2024-11-18
455,8169310564,Celular,2024-10-31
456,5573363455,Celular,2024-03-22
457,5586710434,Celular,2024-11-17
457,5531312495,Casa,2024-07-06
458,5516503242,Celular,2024-01-29
458,5534126525,Fijo,2024-04-30
459,2226244975,Celular,2025-01-02
459,2239131368,Casa,2024-08-22
460,5523398545,Celular,2024-08-14
460,5556705573,Casa,2024-07-06
461,8165849752,Celular,2024-05-03
462,81466110230,Celular,2024-09-04
463,5511602709,Celular,2024-10-24
464,(56) 16243937,Celular,2024-12-22
465,3332056846,Celular,2024-03-01
466,5560350175,Celular,2024-08-08
467,5545266905,Celular,2025-01-06
468,4465826010,Celular,2024-03-13
468,4445430278,Casa,2024-09-16
469,5580365426,Celular,2025-01-28
470,5644468770,Celular,2024-09-05
470,5691629781,Casa,2024-10-23
471,5529257670,Celular,2025-02-01
472,2216263677,Celular,2024-09-05
472,2241333073,Casa,2024-02-02
473,4496218371,Celular,2025-01-13
474,3344854036,Celular,2024-06-16
475,8144010382,Celular,2024-10-16
476,5578835466,Celular,2025-01-15
476,5537254390,Casa,2024-09-19
477,5688639584,Celular,2024-09-30
478,4453772056,Celular,2024-10-05
479,2212105056,Celular,2025-01-17
480,5547691215,Celular,2024-05-14
481,5584342926,Celular,2024-02-26
481,5582060197,Casa,2024-07-04
482,5510754180,Celular,2024-10-26
482,5593209786,Casa,2025-01-02
483,5688458329,Celular,2024-11-27
483,5641317477,Casa,2024-02-23
484,2238352694,Celular,2024-04-27
484,2268724168,Casa,2024-10-10
485,2225115258,Celular,2024-09-02
486,,Celular,2024-09-02
487,8151845978,Celular,2024-12-24
488,2292404675,Celular,2024-11-08
489,5522112900,Celular,2024-10-06
490,2273064521,Celular,2024-07-21
491,5522082542,Celular,2024-05-08
492,5551005005,Celular,2024-10-30
492,5544531322,Casa,2024-01-29
493,4495217241,Celular,2025-01-24
494,5577255463,Celular,2024-06-02
494,5581749764,Casa,2024-10-03
495,5523783911,Celular,2024-03-12
496,5631170003,Celular,2025-01-01
497,2229433685,Celular,2024-01-22
498,5559678916,Celular,2024-07-31
499,8160191422,Celular,2024-12-07
500,5517536805,Celular,2024-09-10
500,5566427621,Casa,2024-01-21
501,4440993868,Celular,2024-08-03
501,4475406051,Casa,2024-11-20
502,5681330661,Celular,2025-01-21
503,8154795769,Celular,2025-01-05
503,8171240187,Casa,2024-08-14
504,44835835860,Celular,2024-11-04
504,4424132720,Casa,2024-06-20
505,5560274678,Celular,2024-04-30
505,5518294103,Casa,2025-01-25
506,5590561723,Celular,2024-10-24
507,005596560989,Celular,2024-01-08
507,5598041669,Casa,2024-02-03
508,2270864217,Celular,2024-09-10
508,2299466904,Casa,2024-10-11
509,4473898743,Celular,2024-07-02
510,(55) 73803002,Celular,2024-06-13
510,5599127033,Casa,2024-04-10
511,5572186096,Celular,2024-07-28
512,2274661877,Celular,2024-06-17
513,5517579459,Celular,2024-05-27
514,5523677194,Celular,2024-10-06
515,5530563058,Celular,2024-12-06
516,5584578953,Celular,2024-11-22
517,4488485601,Celular,2024-10-25
517,4498653269,Casa,2024-11-28
518,8121484050,Celular,2024-02-23
518,8143738789,Casa,2024-08-19
519,5540354845,Celular,2024-09-24
519,5573204393,Casa,2024-11-23
520,5634691329,Celular,2024-11-25
520,5654156381,Casa,2024-02-10
521,5537020018,Celular,2025-01-06
521,5535478040,Casa,2024-02-15
522,2214363488,Celular,2024-03-14
523,5547376518,Celular,2024-07-03
524,5511760334,Celular,2024-06-06
524,5549148048,Casa,2024-01-25
525,4466250156,Celular,2024-09-05
525,4482986712,Casa,2024-07-18
526,5664018649,Celular,2025-01-26
526,5656102453,Casa,2024-12-01
527,5642685294,Celular,2024-10-03
527,5653234228,Casa,2024-11-03
528,4499233975,Celular,2024-01-02
529,5652928977,Celular,2025-01-18
530,5538707776,Celular,2024-01-09
530,5535954204,Casa,2024-06-27
531,5659677165,Celular,2024-07-02
532,5555915814,Celular,2024-11-19
533,2296797276,Celular,2024-05-06
534,2225721406,Celular,2025-01-10
535,8187305295,Celular,2024-10-29
536,8141812652,Celular,2024-12-27
536,8130610076,Casa,2024-07-30
537,5537714555,Celular,2024-09-18
538,2292322131,Celular,2024-09-16
539,3393801263,Celular,2024-05-10
540,5549816756,Celular,2024-01-31
541,2210742918,Celular,2024-02-20
541,2292690490,Casa,2024-05-14
542,005518575659,Celular,2024-06-08
543,4468405839,Celular,2024-06-21
544,5569559391,Celular,2024-03-27
544,5552245616,Casa,2024-05-30
