SID,NOMBRE,FECHA_NAC,GENERO,CURP,FECHA_ACT
26,Teresa Mejía Rodríguez,1995-02-17,F,MERT950217MDFJDR20,2024/11/11
27,Héctor Suárez Rangel,2002-08-08,M,SURH020808HMCRNC18,2024-11-09
28,Gabriela Vargas Molina,1986-09-14,F,VAMG860914MMCRLB22,2024-12-28
29,Cristian Bautista Torres,1987-07-26,M,BATC870726HDFTRR82,2025-01-19
30,Saúl Ismael Estrada Rojas,1989-10-26,M,EARS891026HDFSJL29,2024/08/31
,Saúl Ismael Estrada Rojas,1989-10-26,M,EARS891026HDFSJL29,2024/08/31
31,Elena Valentina Ramos Núñez,1987-04-11,F,RANE870411MDFMZL52,2024-08-06
32,Enrique Raúl Contreras Herrera,1988-01-21,M,COHE880121HDFNRN71,2024-10-18
33,David Campos Figueroa,2006-12-12,M,CAFD061212HDFMGV07,2024-11-21
34,Karla Ortiz Camacho,1989-09-08,F,OICK890908MDFRMR16,2024-12-26
35,Héctor Valencia Díaz,1989/11/08,M,VADH891108HDFLZC95,2025-02-22
36,María Castillo Castro,1992-04-08,F,CACM920408MDFSSR47,2025-01-27
37,Diego Medina Rivera,1985-11-06,M,MERD851106HDFDVG27,2024-08-16
38,Adriana Alejandra López García,1993/11/11,F,LEGA931111MMCPRD19,2024-09-02
39,Gustavo Gustavo Álvarez León,1989-09-24,M,AALG890924HNELNS52,2024-08-28
40,Guadalupe Delgado Rojas,1987/11/25,F,DERG871125MMCLJD27,2025-01-12
41,Pablo Eduardo Muñoz Núñez,1985-09-17,M,MUNP850917HDFZZB94,2024-12-15
42,Luis Moreno Cortés,1985-09-08,M,MOCL850908HMCRRS09,2025-02-03
43,Víctor Núñez Fuentes,1997-10-08,M,NEFV971008HMCZNC99,2024-12-31
44,PEDRO GARCÍA LARA,14 Mar 1995,m,GALP950314HDFRRD94,2024-12-02
45,Andrés Soto Álvarez,1986-10-29,M,SOAA861029HDFTLN04,2024-10-27
46,Catalina Campos Sánchez,1987-08-09,F,CASC870809MDFMNT69,2025-02-26
47,Silvia Téllez Orozco,1999-03-11,F,TEOS990311MDFLRL32,2024-12-18
48,José Reyes Guerrero,1998-12-27,M,REGJ981227HDFYRS84,2024-09-15
49,Susana Elena Navarro Silva,2006-02-27,F,NASS060227MDFVLS24,2025-01-01
50,Emilio Zavala Pérez,1998-08-02,m,ZAPE980802HMCVRM90,2024-09-27
51,Isabel Sandra Torres Hernández,1998-10-29,F,TOHI981029MDFRRS57,2024-12-13
52,Carlos Valencia Cortés,2000-12-27,M,VACC001227HDFLRR10,2025-01-09
53,Hugo Iván Sandoval Palacios,1993-06-12,M,SAPH930612HMCNLG69,2024-08-24
54,Rocío Alicia Acosta Téllez,2000-09-19,F,AOTR000919MMCCLC94,2025-01-19
55,Andrés Rivera Bautista,2003-03-23,M,RIBA030323HDFVTN98,30-08-2024
56,Elena Figueroa Domínguez,2005-07-22,F,FIDE050722MMCGML42,2025-01-14
57,Fernanda Araceli Medina Moreno,1998-07-04,F,MEMF980704MMCDRR48,2024-11-06
58,Ricardo Díaz Velázquez,1988-02-07,M,DAVR880207HDFZLC77,2024-08-26
59,Kevin Cervantes Cruz,1993-12-08,M,CECK931208HDFRRV20,2024-08-19
60,Beatriz Teresa Camacho Salazar,2006-06-14,F,CASB060614MDFMLT90,2024-09-22
61,Valentina Cruz Ibarra,1998-03-22,F,CUIV980322MNERBL76,2024-08-16
62,Nayeli Valeria Carmona Molina,2003-09-18,F,CAMN030918MMCRLY13,2025-02-18
63,Andrea García Estrada,1990-01-05,F,GAEA900105MPLRSN61,2024-08-24
64,Rafael Espinoza Hernández,1995-11-28,M,EIHR951128HDFSRF59,2025-01-26
65,Irma Muñoz Ruiz,1991-11-03,F,MURI911103MMCZZR30,2024-10-06
66,Mariana Pérez Moreno,1994-06-03,F,PEMM940603MMCRRR37,2024-09-05
67,Ignacio Brandon Velázquez Cruz,1995-06-25,M,VECI950625HMCLRG93,2025-01-25
68,Carmen Hernández Suárez,1992-05-23,F,HESC920523MDFRRR75,2024-08-05
69,Diana Diana Ríos Núñez,1988-11-09,F,ROND881109MDFSZN11,2024-11-16
70,Andrea Figueroa Ibarra ,1998-04-14,F,FIIA980414MDFGBN15,2025-01-28
71,Mateo López Vázquez,1991-03-09,M,LEVM910309HDFPZT85,2024-12-29
72,Sofía López Álvarez,1991-03-29,F,LEAS910329MDFPLF54,2024-09-10
73,Rafael Diego Trejo Palacios,1990-08-28,M,TEPR900828HMCRLF16,2024-08-04
74,Ismael Emilio Navarro Contreras,2006-05-13,M,NACI060513HMCVNS38,2024-12-08
75,Salvador Valencia Rosales,1986-02-06,M,VARS860206HDFLSL15,2025-01-08
76,Daniel Gutiérrez Rangel,24-02-1994,M,GURD940224HMCTNN83,2025-03-01
77,Paola Valeria Guerrero Cervantes,2002-11-23,F,GUCP021123MDFRRL46,2024-08-02
78,Valeria Ramos Vázquez,1993-11-23,F,RAVV931123MNEMZL37,2025-02-13
79,Elena Ramírez Flores,1990-11-18,F,RAFE901118MDFMLL98,2024-08-01
80,Karla Cabrera Moreno,1993-05-15,F,CAMK930515MDFBRR43,2025-02-08
81,Valeria Ibarra Ibarra,1985-11-11,F,IAIV851111MMCBBL44,2024-10-23
82,Ángel Fuentes García,1990-01-25,M,fuga900125hdfnrn79,2024-10-20
83,Carmen Carmen Valencia Contreras,2000-10-15,F,VACC001015MDFLNR78,03-09-2024
84,Patricia Carmona Vargas,11/05/1989,F,CAVP891105MDFRRT23,2024-10-15
85,José Acosta Ramírez,2000-12-24,M,AORJ001224HDFCMS12,2024-09-09
86,Andrés Hernández Bautista,2006-08-04,M,HEBA060804HDFRTN78,2024-12-16
87,Iván Leonardo Gutiérrez Reyes,1998-09-29,M,GURI980929HDFTYV91,2024-12-28
88,Hugo Acosta Rodríguez,1998-06-03,M,AORH980603HDFCDG29,2025-02-28
89,Alan Brandon Espinoza Moreno,1995-04-02,M,EIMA950402HMCSRL98,2024-12-08
90,Kevin Camacho Núñez,1995-09-29,M,CANK950929HDFMZV33,2024-11-08
91,Leticia Ana Soto Silva,1985-06-10,F,SOSL850610MDFTLT96,2024-10-14
92,Cristian Fuentes Torres,2006-10-10,f,FUTC061010HMCNRR00,2024-10-20
93,Luz Sánchez Rangel,1988-10-09,F,SERL881009MDFNNZ55,2024/11/05
94,Leonardo Martínez Reyes,1999-04-28,M,MARL990428HDFRYN21,2025-02-26
95,Martín Flores Ramos,2006-11-10,F,FORM061110HDFLMR81,2024-08-20
96,Valentina Perla Rangel Castro ,2006-07-09,F,RACV060709MMCNSL58,2025-01-05
97,Axel Contreras Guerrero,1995-11-04,M,COGA951104HDFNRX85,2024-08-09
98,Arturo Lopez Palacios,1985-09-23,M,LEPA850923HDFPLR91,16 Nov 2024
99,GERARDO RAMOS ROMERO,1994-02-17,M,RARG940217HMCMMR74,2025-01-21
100,LUZ BEATRIZ REYES MORALES,2004-10-11,F,REML041011MDFYRZ83,2024-08-22
101,Alejandra Cecilia Silva Ibarra,2001-05-02,F,SIIA010502MDFLBL70,2025-01-23
102,Itzel Camacho Velázquez,1996-04-12,F,CAVI960412MDFMLT55,2024-12-15
103,Ricardo Bautista Flores,1988-01-24,M,BAFR880124HDFTLC11,2024-08-07
104,Mariana Beatriz Campos Pérez,1996-01-31,F,CAPM960131MDFMRR05,2024-08-26
105,Elena Sofía Campos Mejía,1996-01-15,F,CAME960115MDFMJL21,2024-09-22
106,Luz Mejía Molina,1993-10-12,F,MEML931012MDFJLZ58,2024-12-24
107,Ignacio Gutiérrez Rosales,2006-09-04,M,GURI060904HDFTSG78,2024-08-08
108,Mateo Muñoz Ortiz,1994-11-21,M,MUOM941121HDFZRT99,2024-12-18
109, Sofía Molina Cabrera,1991-08-28,F,MOCS910828MDFLBF77,2025-02-26
110,Víctor Aguilar Pérez,1999-11-30,M,AUPV991130HDFGRC34,2024-12-06
111,Enrique Figueroa Morales,2004-12-17,M,FIME041217HMCGRN90,2024-08-26
112,Erika Mendoza Herrera,1995-01-21,F,MEHE950121MMCNRR57,2025-01-17
113,Oscar Ortiz Gutiérrez,1989-09-03,M,OIGO890903HDFRTS47,2024-10-07
114,Teresa Valencia Ramos,2001-02-02,F,VART010202MMCLMR08,2025-02-18
115,Isabel García Cruz,2003-02-05,F,GACI030205MDFRRS49,2024-08-02
116,Natalia Ariadna Romero Cervantes,1994-03-30,F,ROCN940330MDFMRT41,2025-02-27
117,Cecilia Palacios Mendoza,1991-08-24,F,PAMC910824MMCLNC21,2024-08-23
118,Armando Reyes Téllez,1997-09-28,M,RETA970928HNEYLR34,2024/10/22
119,Rosa Gutiérrez Salazar,2002-07-02,F,GUSR020702MDFTLS41,2024-12-15
120,Paola Herrera Camacho,1989-11-19,F,HECP891119MDFRML74,2024-10-06
121,Gabriela Pérez Hernández,1985-04-01,F,PEHG850401MDFRRB03,2025-01-17
122,Ricardo Trejo Medina,1996-06-14,M,PENDIENTE,2025-02-17
123,Ximena Yolanda Silva Muñoz,2002-09-24,F,SIMX020924MDFLZM77,05/02/2025
124,Ricardo Molina Lara,2001-07-08,M,MOLR010708HDFLRC88,2024-08-03
125,Ximena Cruz Muñoz,1985-08-27,F,CUMX850827MDFRZM34,2024-12-20
126,Axel Muñoz Aguilar,1996-08-23,M,MUAA960823HMCZGX35,2024-08-04
127,Antonio Díaz Molina,2002-11-18,M,DAMA021118HMCZLN47,2025-01-01
128,Claudia Gabriela Pérez Castillo,1993-06-12,F,PECC930612MMCRSL23,2025-01-28
129,Gerardo Fernando Mejía Cortés,2006-07-03,M,MECG060703HDFJRR48,2024-10-30
130,Susana Sandoval Ramírez,1995-10-25,F,SARS951025MDFNMS93,2025-01-09
131,Carolina Herrera Carmona,05-04-2000,F,HECC000405MDFRRR38,2025-01-31
132,Iván Zavala López,1997-10-05,M,ZALI971005HMCVPV62,2024-09-02
133,Víctor Pérez Medina,1996-12-04,M,PEMV961204HDFRDC57,2025-02-21
134,Beatriz Ramírez Gómez,1998-06-20,F,RAGB980620MDFMMT58,2024-11-09
135,Alberto González Estrada,1994-10-24,M,GOEA941024HDFNSL96,2024-10-12
136,Carmen Jessica Carmona Soto,2006-11-22,F,CASC061122MDFRTR17,2025-01-06
137,Tomás Herrera Castro,1997-03-16,M,HECT970316HDFRSM97,2025-01-24
138,Luis Pérez Figueroa,1986-08-28,M,PEFL860828HMCRGS11,2025-02-12
139,César Vázquez Jiménez,1998-03-18,M,VUJC980318HDFZMS67,2024-08-09
140,Ariadna Teresa Reyes Gómez,1999-01-03,F,REGA990103MMCYMR47,2024-09-25
141,Andrea Ortiz Ramírez,2006-05-18,F,OIRA060518MDFRMN91,2024-12-07
142,Beatriz Estrada Ibarra,1995-09-05,O,EAIB950905MDFSBT42,2024-09-09
143,Carmen Pérez Ríos,1986-11-25,F,PERC861125MDFRSR37,2024-12-14
144,Ximena León Mendoza,1988-08-07,F,LEMX880807MMCNNM61,2024-08-02
145,Carmen Guadalupe Soto Cruz,1992-03-17,F,SOCC920317MMCTRR96,2024-12-01
146,Carolina Gutiérrez Gómez,2005-12-04,F,GUGC051204MDFTMR21,2024-08-10
147,Martha María Rosales Rosales,1990-04-28,F,RORM900428MDFSSR63,2025-01-18
148,Sebastián Rafael Pérez Flores,1990-10-26,M,PEFS901026HDFRLB55,2024-10-25
149,Nayeli Mejía Rosales,2004-09-27,F,MERN040927MMCJSY52,2024-09-25
150,Sandra Sandoval Flores,1989-09-19,F,SAFS890919MDFNLN81,2024-11-11
151,Gustavo José Hernández Carmona,1989-02-28,M,HECG890228HDFRRS32,2024-10-03
152,Citlali Ibarra Carmona,2003-02-11,F,IACC030211MDFBRT13,2024-08-01
153,Luz Ortiz Reyes,1994-01-05,F,OIRL940105MDFRYZ59,2024-11-25
154,Natalia Fernanda Jiménez Rivera,16 Jul 1990,F,JIRN900716MMCMVT63,2024-12-25
155,Montserrat Norma Fuentes Molina,1994-06-17,F,FUMM940617MDFNLN77,2024-12-21
156,Camila Patricia Medina Castro,1991-06-28,F,MECC910628MDFDSM72,2024-10-22
157,Luis Uriel Sandoval Muñoz,2003-06-12,M,SAML030612HMCNZS00,2024-09-09
158,Alejandro Hernández Ibarra,1991-07-25,M,HEIA910725HMCRBL90,2024-11-11
159,ROBERTO DOMÍNGUEZ VÁZQUEZ,2000-06-23,M,DOVR000623HDFMZB79,2025-01-31
160,Citlali Valentina Estrada Reyes,2006-02-23,F,EARC060223MDFSYT13,2024-11-09
161,Ángel Valencia Sandoval,1997-08-17,M,VASA970817HDFLNN59,2024-09-27
162,Santiago González Fuentes,1988-04-15,M,GOFS880415HDFNNN52,2024-12-05
163,Vanessa Rojas Domínguez,07/24/1990,F,RODV900724MMCJMN45,2024-11-09
164,Citlali Fuentes Camacho,1991-08-03,F,FUCC910803MDFNMT72,10/10/2024
165,Jessica Martínez Gutiérrez,1991-04-21,F,MAGJ910421MDFRTS74,2025-02-24
166,Leticia Vargas Trejo,2003-01-23,Femenino,VATL030123MMCRRT79,2025-02-05
167,Francisco Núñez Morales,2006-05-17,M,NEMF060517HDFZRR49,2024-08-08
168,Armando Gerardo Estrada Bautista,2000-12-30,M,EABA001230HDFSTR64,2025-02-15
169,Fernando Mendoza Ortiz,1996-10-16,M,meof961016hdfnrr25,2024-10-07
170,Néstor Sánchez Cabrera,2003-08-08,M,SECN030808HMCNBS68,2024-10-22
171,Andrés Rojas Bautista,1996-03-27,M,ROBA960327HDFJTN19,2024-11-03
172,Catalina Figueroa Fuentes,1997-02-21,F,FIFC970221MDFGNT79,2024-09-02
173,Guadalupe Navarro Rojas,1985-03-08,F,NARG850308MDFVJD78,2025-02-03
174,Carolina Guadalupe Martínez Ibarra,2006-02-22,F,MAIC060222MDFRBR95,2025-02-22
175,Diana Jessica Téllez Valencia,1998-05-13,F,TEVD980513MDFLLN64,2024-11-24
176,Irma García Reyes,2001-09-12,F,GARI010912MDFRYR30,2025-02-17
177,David Fernando Navarro Ramírez,1985-02-25,M,NARD850225HDFVMV99,2024-09-24
178,Cecilia Vázquez Muñoz,1999-11-25,F,VUMC991125MMCZZC12,27/01/2025
179,GABRIELA CRUZ MEDINA,1996-10-08,F,CUMG961008MDFRDB68,2025-01-31
180,Perla Beatriz Díaz Campos,1985-01-10,F,DACP850110MMCZMR98,2024-11-19
181,Sofía Cervantes Muñoz,1992-05-15,F,CEMS920515MDFRZF12,2024-08-29
182,Itzel Carmen Lara Herrera,2005/04/09,F,LAHI050409MMCRRT80,2024-10-04
183,Karla Espinoza Aguilar,03/25/1989,F,EIAK890325MDFSGR19,2024-12-24
184,Regina Figueroa Tellez,1988-04-17,F,FITR880417MMCGLG19,2025-01-07
185,Uriel Gómez Ibarra ,1994-11-30,M,geiu941130hmcmbr04,2025-01-10
186,Diego Ricardo Soto Castro,2006-03-19,M,SOCD060319HDFTSG88,2024-08-13
187,Rodrigo Cortés Trejo,1987-12-28,M,COTR871228HMCRRD19,2025-02-28
188,César Medina Rivera,1987-12-18,M,MERC871218HMCDVS49,2024-10-27
189,Cecilia Zavala Domínguez,1998-04-10,F,ZADC980410MDFVMC98,2025-01-22
190,Lucía Díaz Medina,1996-01-30,F,DAML960130MDFZDC15,2024-10-16
191,Cecilia Suárez Reyes,2001/11/04,F,SURC011104MDFRYC12,2024-10-23
192,Eduardo Sánchez Herrera,2001-11-17,M,SEHE011117HDFNRD78,2024-09-14
193,Pedro Daniel Herrera Ramos,1991-12-21,M,HERP911221HDFRMD78,2024-09-04
194,Cristian Molina Trejo,1995-09-19,M,MOTC950919HMCLRR13,2024-10-24
195,Iván Jorge Silva Ortiz,1998-10-31,M,SIOI981031HDFLRV06,2024-11-30
196,Laura Torres Vázquez,2002-08-03,F,TOVL020803MDFRZR76,2025-02-06
197,Alejandro Ramón Soto Herrera,1985-09-09,M,SOHA850909HDFTRL37,2024-09-18
198,Ramón Jiménez Camacho,1997-12-02,M,PENDIENTE,2024-11-09
199,Paola Brenda Salazar Rangel,1986-12-25,F,SARP861225MDFLNL34,2024-12-22
200,Luis Gerardo Bautista Morales,1993-03-17,M,BAML930317HDFTRS49,2024-08-26
201,Eduardo Vázquez Rangel,1999-06-08,M,,2024-11-03
202,Andrea Téllez González,1997-05-03,F,TEGA970503MDFLNN60,2024-12-21
203,Elena Romero Cervantes,2002-01-10,F,ROCE020110MDFMRL18,2024-09-30
204,Gerardo Mejía Vargas,1999-04-03,M,MEVG990403HDFJRR30,2024-08-02
,Gerardo Mejía Vargas,1999-04-03,M,MEVG990403HDFJRR30,2024-08-02
205,Carolina Pérez Cortés,1986-07-28,F,PECC860728MDFRRR97,2024-12-26
206,Armando Pérez Flores,1992-09-17,M,PEFA920917HDFRLR75,23-08-2024
207,Ismael Diego Morales Flores,1985-11-10,M,,2025-01-29
208,Santiago Romero Rodríguez,2005-12-04,M,RORS051204HDFMDN52,2024-08-21
209,Raúl Mario Torres Guerrero,1989-07-31,M,TOGR890731HDFRRL49,2025-02-01
210,Adriana Romero González,1995-12-06,F,ROGA951206MDFMND76,2024-11-04
211,Javier Jorge Vargas León,12-12-1990,M,VALJ901212HDFRNV13,2025-01-30
212,Itzel  Luz  Contreras  Mendoza,1990-03-11,F,COMI900311MDFNNT87,2024-10-04
213,Mateo Mario Palacios Pérez,1995-12-05,M,PAPM951205HMCLRT11,2025-02-02
214,Saúl Jorge Fuentes Rivera,2006-10-21,M,FURS061021HNENVL33,2024-11-14
215,Rosa Álvarez Mejía,1993-12-22,F,AAMR931222MDFLJS38,2024-10-01
216,Jessica Contreras Díaz,1986-01-05,F,CODJ860105MDFNZS15,2024-09-19
217,Dulce Silvia Suárez Aguilar,1996-07-30,F,SUAD960730MNLRGL71,2024-11-09
218,Perla Rivera Domínguez,1997-08-26,F,RIDP970826MDFVMR36,2024-08-16
219,ARIADNA VELÁZQUEZ SALAZAR,2002-12-08,F,VESA021208MNELLR33,2024-12-04
220,Patricia Pérez Mendoza,1997-03-27,F,PEMP970327MVZRNT12,2024-10-03
221,Ignacio Salvador Flores Velázquez,1999-07-08,M,FOVI990708HDFLLG25,2025-01-14
222,Néstor Ortiz Suárez,1994-08-27,M,OISN940827HDFRRS70,2024-09-24
223,Carmen Dulce Valencia Guerrero,08/15/2005,F,VAGC050815MDFLRR29,2024-11-11
224,Natalia Carmona Jiménez,1999-08-12,F,CAJN990812MDFRMT55,07/01/2025
225,Susana Morales Cortés,1998-08-17,F,MOCS980817MDFRRS72,2024-09-08
226,Felipe Lara León,1994-09-13,M,LALF940913HMCRNL18,2025-02-04
227,Rafael Jiménez Orozco,1996-01-04,M,JIOR960104HDFMRF09,2025-01-03
228,Sergio Juan Hernández Campos,2001-04-09,M,HECS010409HMCRMR62,2024-08-17
229,Rodrigo Miguel Cruz Carmona,1991-09-19,M,CUCR910919HDFRRD26,2025-02-02
230,Gerardo García Estrada,2002-09-27,M,GAEG020927HDFRSR10,2024-12-03
231,Diana Romero Ramírez,2001-12-08,F,RORD011208MMCMMN87,2024-10-27
232,Perla Figueroa Molina,1992-01-13,F,FIMP920113MDFGLR93,2025-02-24
233,Juan Iván Ruiz Rosales,2004-07-07,M,RURJ040707HDFZSN06,2025-01-23
234,Gabriel Téllez Vargas,1987-10-02,M,TEVG871002HDFLRB79,2024-10-02
235,Kevin Ignacio Moreno Guerrero,1992-01-08,M,MOGK920108HNERRV45,2025-02-19
236,Rosa Valeria Carmona Jiménez,2004-06-28,F,CAJR040628MDFRMS57,2024-09-23
237,Martín Rosales Díaz,06-03-2000,M,RODM000306HDFSZR04,2025-01-21
238,César Contreras Suárez,1985-04-27,M,COSC850427HMCNRS87,2025-02-17
239,Ramón Gómez Flores,1989-11-23,M,GEFR891123HDFMLM51,2024-08-10
240,David Héctor Lara Figueroa,2005-01-09,M,LAFD050109HDFRGV81,2025-01-08
241,Juan Fuentes Castro,2004-11-26,M,FUCJ041126HMCNSN64,2024-09-20
242,Karla Pérez Díaz,2003/06/02,F,PEDK030602MMCRZR97,2024-11-21
243,Elena Leticia Rivera Herrera,1985-09-28,F,RIHE850928MDFVRL56,2024-11-15
244,Brenda Claudia Delgado Silva,1990-08-29,F,DESB900829MDFLLR17,2024-11-30
245,Leticia Suarez Hernandez,2004-09-08,F,SUHL040908MNERRT94,2025-01-17
246,Arturo Herrera Silva,2004-11-02,M,HESA041102HDFRLR12,2024-12-22
247,Saúl Flores Figueroa,1990-10-29,M,FOFS901029HDFLGL09,2025-01-17
248,Karla Cruz Mejía,1992-03-29,F,CUMK920329MDFRJR98,2024-10-07
249,Santiago Rojas Valencia,1998-10-31,M,ROVS981031HDFJLN44,2025-01-25
250,Raquel  Alejandra  Cabrera  Torres,1987-12-09,F,CATR871209MMCBRQ55,2025-02-07
251,Brandon Mateo Muñoz Fuentes,1997-05-27,M,MUFB970527HDFZNR48,2024-10-10
252,Nayeli Navarro Lara,1992-12-12,F,NALN921212MDFVRY80,2025-02-25
253,Kevin Fuentes Silva,1992-04-25,M,FUSK920425HDFNLV38,27-10-2024
254,Ana Gómez Silva,1997/01/30,F,GESA970130MMCMLN76,2025-01-18
255,Armando Felipe Mejía Gutiérrez,1990-08-21,M,MEGA900821HDFJTR04,2024-12-24
256,Salvador Rosales Figueroa,1996-07-24,M,ROFS960724HDFSGL26,2024-10-24
257,Perla Castro Guerrero,1991-05-26,F,CAGP910526MMCSRR43,2024-09-03
258,Alejandra Mónica Suárez Díaz,1995-11-18,F,SUDA951118MDFRZL80,2024-12-21
259,Regina Muñoz Rivera,1985-06-03,F,MURR850603MMCZVG92,2024-10-13
260,Raquel Martínez Vázquez,1997-09-05,F,MAVR970905MDFRZQ29,2024-12-19
261,Irma Ríos Flores,1988-05-26,F,ROFI880526MDFSLR37 ,2024-09-28
262,Kevin Pérez Díaz,2003-12-17,M,PEDK031217HDFRZV37,2025-01-15
263,Irma Velázquez Navarro,1986-05-09,F,VENI860509MDFLVR73,28-08-2024
264,Ángel Contreras Ramos,2003-09-09,M,CORA030909HDFNMN74,23-12-2024
265,Felipe  Javier  Rosales  Ramos,1999-04-12,M,RORF990412HDFSML82,2025-02-07
266,David Rojas Soto,1994-04-21,M,ROSD940421HDFJTV34,2024-08-13
267,Guadalupe Rangel Flores,1996-06-21,F,RAFG960621MDFNLD35,2024-12-19
268,Miguel Cervantes Navarro,1994-05-12,M,CENM940512HDFRVG46,2025-01-13
269,Luz Renata García Mendoza,2005-06-02,F,GAML050602MDFRNZ59,2025-01-10
270,Martha Morales Ramírez,1988-02-15,m,MORM880215MMCRMR30,2024-09-10
271,Erick Gómez Rangel,1999-07-30,M,GERE990730HDFMNR31,2024-10-07
272,Silvia Aguilar Cortés,2001-09-03,F,AUCS010903MDFGRL02,2024-11-25
273,Catalina Susana Romero Soto,1987-06-08,F,ROSC870608MDFMTT70,2024-12-16
274,Gabriela Moreno Gómez,1988-08-30,F,MOGG880830MDFRMB39,2024-08-12
275,Laura Martínez Cruz,1997-07-12,F,MACL970712MDFRRR99,2024-08-13
276,Raúl Fuentes Valencia,1997-03-29,M,FUVR970329HMCNLL68,2024-08-16
277,Renata Gabriela Vázquez Mendoza,2001-07-05,F,VUMR010705MDFZNN81,2024-12-06
278,Luz Salazar Téllez,1993-03-11,F,SATL930311MDFLLZ93,2025-02-16
279,Beatriz María Aguilar Delgado,1992-10-18,F,AUDB921018MDFGLT09,2025-01-28
280,Rafael Guerrero Ortiz,1999-12-14,M,GUOR991214HMCRRF87,2025-02-13
281,Monica Ariadna Guerrero Contreras,2003-03-10,F,GUCM030310MDFRNN72,2024/10/31
282,Pedro Miguel Díaz Valencia,2001-08-26,M,DAVP010826HMCZLD52,2024-11-17
283,Leticia Catalina Díaz Álvarez,2003-10-14,F,DAAL031014MDFZLT80,2024-08-13
284,Luis Cervantes Cruz,1994-05-24,M,CECL940524HDFRRS48,2024/10/28
285,Cecilia Navarro Medina,2001-12-19,F,NAMC011219MNEVDC31,2024-09-11
286,Alberto Mateo Cervantes Castillo,2005-02-27,M,CECA050227HDFRSL10,2025-02-28
287,Hugo Lara Gómez,1990-02-15,M,LAGH900215HDFRMG35,2025-02-11
288,Andrés Cabrera Reyes,1997-12-08,M,CARA971208HPLBYN61,2024-08-31
289,Pedro Alejandro Silva Guerrero,1991-12-07,M,SIGP911207HDFLRD55,2025-02-21
290,Vanessa Gutiérrez Vargas,2003-07-09,F,GUVV030709MMCTRN18,2025-01-23
291,Jessica Rosales Romero,1985-08-30,F,RORJ850830MDFSMS32,2024-12-01
292,Daniela Delgado Rosales,1988-02-05,F,DERD880205MDFLSN38,2024-08-22
293,Luz Ruiz Torres,1997-03-11,F,RUTL970311MMCZRZ69,12-10-2024
294,Natalia Sandoval Rivera,1988/12/07,F,SARN881207MDFNVT76,2024-10-20
295,Sergio Ríos Vargas,2004-09-02,M,ROVS040902HDFSRR35,2024-09-08
296, Oscar Silva González,1997-12-20,Masculino,SIGO971220HDFLNS38,2024-08-04
297,Natalia Delgado González,2003-10-10,F,DEGN031010MDFLNT53,2024-10-19
298,Karla Suárez Herrera,1988-02-23,F,SUHK880223MDFRRR02,2024-08-06
299,Santiago Estrada Medina,05-02-2005,M,EAMS050205HDFSDN42,2024-09-15
300,Jesús Castillo Domínguez,2005-12-07,M,CADJ051207HMCSMS97,2025-02-28
301,Irma Lara Vázquez,2005-04-30,F,LAVI050430MDFRZR71,2025-01-11
302,Ramón Moreno González,1996-09-30,M,MOGR960930HMCRNM23,2025-02-24
