SID,CORREO,TIPO_CORREO,FECHA_ACT
37,diego_medina@universidad-sysac.edu.mx,Institucional,2024-12-23
37,diego_medina@yahoo.com,Personal,2024-04-19
38,adriana_lopez@universidad-sysac.edu.mx,Institucional,2024-10-14
38,adriana_lopez98@live.com.mx,Personal,2024-04-30
39,gustavo_alvarez@universidad-sysac.edu.mx,Institucional,2024-03-16
39,gustavoalvarez94@icloud.com,Personal,2024-02-01
40,guadalupe_delgado@universidad-sysac.edu.mx,Institucional,2024-03-18
40,guadalupedelgado@yahoo.com,Personal,2024-01-01
41,pablo.munoz@universidad-sysac.edu.mx,Institucional,2024-06-09
41,pablo_munoz850@yahoo.com.mx,PERSONAL,2024-03-01
42,luis_moreno@universidad-sysac.edu.mx,Institucional,2024-10-03
42,luis_moreno@live.com.mx,Personal,2024-03-20
43,victornunez@universidad-sysac.edu.mx,Institucional,2024-01-09
43,victornunez710@hotmail.com,Personal,2024-06-14
44,pedrogarcia@universidad-sysac.edu.mx,Institucional,2024-09-27
44,pedrogarcia93@outlook.com,Personal,2024-07-11
45,andres.soto@universidad-sysac.edu.mx,Institucional,2024-02-08
45,andressoto84@yahoo.com,Personal,2024-04-08
46,catalina_campos@universidad-sysac.edu.mx,Institucional,2024-05-21
46,catalina_campos411@yahoo.com.mx,Personal,2025-01-19
47,silvia.tellez@universidad-sysac.edu.mx,Institucional,2025-01-14
47,silvia.tellez@yahoo.com.mx,Personal,2025-01-06
48,josereyes@universidad-sysac.edu.mx,Institucional,2024-09-08
48,jose.reyes@gmail.com,Personal,2025-01-29
49,susana.navarro@universidad-sysac.edu.mx,Institucional,2024-07-05
49,susana.navarro@icloud.com,Personal,2024-07-29
50,emiliozavala@universidad-sysac.edu.mx,Institucional,2024-07-27
51,isabel.torres@universidad-sysac.edu.mx,Institucional,2024-09-09
51,isabel.torres361@live.com.mx,Personal,2024-12-10
52,carlosvalencia@universidad-sysac.edu.mx,Institucional,2024-04-01
52,carlosvalencia@outlook.com,Personal,2024-06-27
53,hugo.sandoval@universidad-sysac.edu.mx,Institucional,2024-10-05
54,rocioacosta@universidad-sysac.edu.mx,Institucional,2024-03-09
54,rocio.acosta683@icloud.com,Personal,2024-06-19
55,andres_rivera@universidad-sysac.edu.mx,Institucional,2025-01-04
55,andres.rivera949@gmail.com,Personal,2024-04-11
56,elenafigueroa@universidad-sysac.edu.mx,Institucional,2024-09-28
57,fernandamedina@universidad-sysac.edu.mx,Institucional,2025-01-14
57,fernanda.medina@gmail.com,Personal,2024-08-02
58,ricardodiaz@universidad-sysac.edu.mx,Institucional,2024-03-16
58,ricardo.diaz753@hotmail.com,personal ,2024-12-21
59,kevin.cervantes@universidad-sysac.edu.mx,Institucional,2024-03-12
60,beatriz.camacho@universidad-sysac.edu.mx,Institucional,2024-03-28
60,beatriz.camacho303@live.com.mx,Personal,2024-10-10
61,valentina.cruz@universidad-sysac.edu.mx,Institucional,2024-01-12
61,valentina.cruz@icloud.com,Personal,2024-11-06
62,nayeli_carmona@universidad-sysac.edu.mx,Institucional,2024-10-05
62,nayeli.carmona@outlook.com,Personal,2024-11-24
63,andrea_garcia@universidad-sysac.edu.mx,Institucional,2024-01-02
64,rafaelespinoza@universidad-sysac.edu.mx,Institucional,2025-01-15
64,rafael.espinoza94@yahoo.com,personal ,2024-08-21
65,irma_munoz@universidad-sysac.edu.mx,Institucional,2024-01-03
65,irma_munoz@icloud.com,Personal,2024-06-16
66,mariana.perez@universidad-sysac.edu.mx,Institucional,2024-06-15
66,mariana_perez705@hotmail.com,Personal,2024-01-26
67,ignacio_velazquez@universidad-sysac.edu.mx,Institucional,2024-08-08
67,ignacio.velazquez@yahoo.com.mx,Personal,2024-11-08
68,carmen.hernandez@universidad-sysac.edu.mx,Institucional,2024-09-08
68,carmen_hernandez@yahoo.com,Personal,2024-08-25
69,dianarios@universidad-sysac.edu.mx,Institucional,2024-04-05
70,andrea.figueroa@universidad-sysac.edu.mx,Institucional,2024-12-23
70,andreafigueroa208@outlook.com,Personal,2024-05-15
71,mateo.lopez@universidad-sysac.edu.mx,Institucional,2024-09-24
71,mateolopez@yahoo.com.mx,personal ,2024-11-08
72,sofia.lopez@universidad-sysac.edu.mx,Institucional,2024-05-31
72,sofia.lopez98@gmail.com,Personal,2025-01-07
73,rafael_trejo@universidad-sysac.edu.mx,Institucional,2024-11-16
73,rafael_trejo92@yahoo.com,Personal,2024-06-23
74,ismael.navarro@universidad-sysac.edu.mx,Institucional,2024-06-09
74,ismael.navarro637@yahoo.com.mx,Personal,2024-05-08
75,salvador_valencia@universidad-sysac.edu.mx,Institucional,2024-04-16
75,salvadorvalencia934@yahoo.com.mx,Personal,2024-11-06
76,danielgutierrez@universidad-sysac.edu.mx,Institucional,2024-05-24
76,danielgutierrez@outlook.com,Personal,2024-11-17
77,paola.guerrero@universidad-sysac.edu.mx,Institucional,2024-05-26
77,paola.guerrero338@hotmail.com,Personal,2025-01-17
78,valeriaramos@universidad-sysac.edu.mx,Institucional,2024-11-26
78,valeriaramos@gmail.com,Personal,2024-08-20
79,elena.ramirez@universidad-sysac.edu.mx,Institucional,2024-05-30
79,elenaramirez93@gmail.com,Personal,2024-11-07
80,karla.cabrera@universidad-sysac.edu.mx,Institucional,2024-07-15
81,valeria.ibarra@universidad-sysac.edu.mx,Institucional,2024-06-03
81,valeriaibarra@icloud.com,Personal,2024-01-29
82,angel.fuentes@universidad-sysac.edu.mx,Institucional,2024-11-16
82,angel.fuentes@outlook.com,Personal,2024-02-24
83,carmen_valencia@universidad-sysac.edu.mx,Institucional,2024-01-02
83,carmen.valencia98@yahoo.com,Personal,2024-09-12
84,patricia.carmona@universidad-sysac.edu.mx,Institucional,2024-11-18
84,patricia.carmona697@hotmail.com,PERSONAL,2024-05-22
85,jose.acosta@universidad-sysac.edu.mx,Institucional,2024-11-01
85,joseacosta54@icloud.com,Personal,2024-01-02
86,andres.hernandez@universidad-sysac.edu.mx,Institucional,2025-01-16
86,andres_hernandez607@live.com.mx,Personal,2024-12-08
87,ivan.gutierrez@universidad-sysac.edu.mx,Institucional,2024-04-18
88,hugo.acosta@universidad-sysac.edu.mx,Institucional,2024-10-01
88,hugo.acosta@protonmail.com,Personal,2024-10-24
89,alan.espinoza@universidad-sysac.edu.mx,Institucional,2024-12-23
89,alan_espinoza85@protonmail.com,Personal,2024-08-01
90,kevincamacho@universidad-sysac.edu.mx,Institucional,2024-02-23
90,kevin_camacho96@icloud.com,Personal,2024-09-19
91,leticia_soto@universidad-sysac.edu.mx,Institucional,2025-01-12
92,cristianfuentes@universidad-sysac.edu.mx,Institucional,2024-09-27
93,luzsanchez@universidad-sysac.edu.mx,Institucional,2024-11-07
94,leonardomartinez@universidad-sysac.edu.mx,Institucional,2024-11-27
94,leonardo.martinez@gmail.com,Personal,2025-01-21
95,martin_flores@universidad-sysac.edu.mx,Institucional,2024-05-28
95,martin_flores@yahoo.com.mx,Personal,2024-12-16
96,valentinarangel@universidad-sysac.edu.mx,Institucional,2024-06-12
96,valentina_rangel@protonmail.com,Personal,2024-11-10
97,axel.contreras@universidad-sysac.edu.mx,Institucional,2024-12-05
97,axel.contreras86@icloud.com,Personal,2024-06-08
98,arturolopez@universidad-sysac.edu.mx,Institucional,2024-08-16
98,arturolopez72@icloud.com,Personal,2024-03-15
99,gerardo_ramos@universidad-sysac.edu.mx,Institucional,2024-01-06
99,gerardoramos423@yahoo.com.mx,Personal,2024-11-14
100,luzreyes@universidad-sysac.edu.mx,Institucional,2024-05-14
100,luz_reyes87@gmail.com,Personal,2024-03-25
101,alejandra_silva@universidad-sysac.edu.mx,Institucional,2025-01-14
101,alejandra_silva91@gmail.com,Personal,2024-05-16
102,itzelcamacho@universidad-sysac.edu.mx,Institucional,2024-10-13
102,itzel.camacho91@live.com.mx,Personal,2024-08-09
103,ricardobautista@universidad-sysac.edu.mx,Institucional,2024-10-22
104,marianacampos@universidad-sysac.edu.mx,Institucional,2025-01-01
104,marianacampos@yahoo.com,Personal,2024-12-03
105,elena.campos@universidad-sysac.edu.mx,Institucional,2024-09-08
105,elenacampos96@hotmail.com,Personal,2024-11-28
106,luz.mejia@universidad-sysac.edu.mx,Institucional,2024-03-08
106,luz.mejia98@outlook.com,Personal,2024-12-14
107,ignaciogutierrez@universidad-sysac.edu.mx,Institucional,2024-11-17
107,ignacio.gutierrez@icloud.com,Personal,2024-03-05
108,mateomunoz@universidad-sysac.edu.mx,Institucional,2025-01-06
108,mateo.munoz82@outlook.com,Personal,2024-07-08
109,sofia.molina@universidad-sysac.edu.mx,Institucional,2024-03-17
109,sofia.molina862@live.com.mx,Personal,2024-11-18
110,victor_aguilar@universidad-sysac.edu.mx,Institucional,2024-12-13
110,victor.aguilar88@gmail.com,Personal,2024-12-21
111,enrique_figueroa@universidad-sysac.edu.mx,Institucional,2024-03-18
111,enrique.figueroa87@yahoo.com,Personal,2024-08-14
112,erika.mendoza@universidad-sysac.edu.mx,Institucional,2024-10-19
112,erika_mendoza88@protonmail.com,Personal,2024-09-12
113,oscar.ortiz@universidad-sysac.edu.mx,Institucional,2024-12-22
113,oscarortiz85@protonmail.com,Personal,2025-01-06
114,teresa_valencia@universidad-sysac.edu.mx,Institucional,2024-04-21
114,teresavalencia587@icloud.com,Personal,2024-08-03
115,isabel.garcia@universidad-sysac.edu.mx,Institucional,2024-06-22
115,isabel.garcia127@yahoo.com,Personal,2024-01-31
116,nataliaromero@universidad-sysac.edu.mx,Institucional,2024-02-22
116,natalia_romero@live.com.mx,Personal,2024-06-23
117,cecilia.palacios@universidad-sysac.edu.mx,Institucional,2024-05-14
117,cecilia_palacios98@live.com.mx,Personal,2025-01-23
118,armandoreyes@universidad-sysac.edu.mx,Institucional,2024-04-01
118,armando_reyes99@yahoo.com.mx,Personal,2024-03-25
119,rosagutierrez@universidad-sysac.edu.mx,Institucional,2024-10-27
119,rosa.gutierrez411@yahoo.com.mx,Personal,2024-04-16
120,paolaherrera@universidad-sysac.edu.mx,Institucional,2024-01-27
120,paola.herrera82@live.com.mx,Personal,2024-10-09
121,gabriela_perez@universidad-sysac.edu.mx,Institucional,2024-11-06
121,gabriela.perez@yahoo.com,Personal,2024-03-27
122,ricardo_trejo@universidad-sysac.edu.mx,Institucional,2024-12-01
123,ximenasilva@universidad-sysac.edu.mx,Institucional,2024-03-08
123,ximena_silva90@yahoo.com.mx,Personal,2024-06-08
124,ricardo_molina@universidad-sysac.edu.mx,Institucional,2024-05-10
125,ximena.cruz@universidad-sysac.edu.mx,Institucional,2024-03-05
126,axel_munoz@universidad-sysac.edu.mx,Institucional,2024-02-09
127,antonio.diaz@universidad-sysac.edu.mx,Institucional,2024-04-19
127,antonio.diaz369@hotmail.com,Personal,2024-05-26
128,claudiaperez@universidad-sysac.edu.mx,Institucional,2024-09-27
128,claudiaperez82@outlook.com,personal,2024-03-24
129,gerardomejia@universidad-sysac.edu.mx,Institucional,2024-11-05
129,gerardomejia89@gmail.com,Personal,2024-09-04
130,susanasandoval@universidad-sysac.edu.mx,Institucional,2024-01-25
130,susana_sandoval@yahoo.com,Personal,2024-10-02
131,carolina_herrera@universidad-sysac.edu.mx,Institucional,2024-09-11
131,carolinaherrera402@protonmail.com,Personal,2024-02-02
132,ivan.zavala@universidad-sysac.edu.mx,Institucional,2024-03-27
133,victorperez@universidad-sysac.edu.mx,Institucional,2024-02-10
133,victor.perez@yahoo.com,Personal,2024-06-21
134,beatrizramirez@universidad-sysac.edu.mx,Institucional,2024-06-16
134,beatriz_ramirez946@live.com.mx,Personal,2024-09-23
135,alberto.gonzalez@universidad-sysac.edu.mx,Institucional,2024-03-05
135,alberto.gonzalez@protonmail.com,Personal,2024-01-13
136,carmencarmona@universidad-sysac.edu.mx,Institucional,2024-10-24
136,carmencarmona384@yahoo.com.mx,Personal,2024-01-07
137,tomas_herrera@universidad-sysac.edu.mx,Institucional,2024-04-15
137,tomas.herrera96@outlook.com,Personal,2024-07-27
138,luis_perez@universidad-sysac.edu.mx,Institucional,2024-04-06
139,cesar_vazquez@universidad-sysac.edu.mx,Institucional,2024-09-13
140,ariadna_reyes@universidad-sysac.edu.mx,Institucional,2024-09-22
140,ariadna.reyes83@yahoo.com.mx,PERSONAL,2025-01-16
141,andrea.ortiz@universidad-sysac.edu.mx,Institucional,2024-09-19
141,andreaortiz364@hotmail.com,Personal,2024-08-16
142,beatriz_estrada@universidad-sysac.edu.mx,Institucional,2024-07-15
142,beatriz.estrada@gmail.com,Personal,2024-02-01
143,carmenperez@universidad-sysac.edu.mx,Institucional,2024-06-07
143,carmen_perez972@hotmail.com,Personal,2024-02-19
144,ximenaleon@universidad-sysac.edu.mx,Institucional,2024-11-07
144,ximenaleon94@yahoo.com,Personal,2024-06-28
145,carmen.soto@universidad-sysac.edu.mx,Institucional,2024-08-31
145,carmen_soto837@hotmail.com,Personal,2024-08-11
146,carolina_gutierrez@universidad-sysac.edu.mx,Institucional,2024-08-16
146,carolina_gutierrez@icloud.com,Personal,2024-06-01
147,martharosales@universidad-sysac.edu.mx,Institucional,2024-11-29
147,martharosales2@live.com.mx,Personal,2024-12-08
148,sebastianperez@universidad-sysac.edu.mx,Institucional,2024-02-13
148,sebastian.perez@outlook.com,Personal,2024-10-24
149,nayeli.mejia@universidad-sysac.edu.mx,Institucional,2024-05-23
150,sandra_sandoval@universidad-sysac.edu.mx,Institucional,2024-12-31
151,gustavo_hernandez@universidad-sysac.edu.mx,Institucional,2024-03-17
151,gustavo_hernandez90@yahoo.com,Personal,2024-10-21
152,citlali_ibarra@universidad-sysac.edu.mx,Institucional,2024-08-08
152,citlaliibarra99@yahoo.com,Personal,2024-01-20
153,luz.ortiz@universidad-sysac.edu.mx,Institucional,2025-01-23
153,luzortiz95@hotmail.com,Personal,2024-05-25
154,natalia.jimenez@universidad-sysac.edu.mx,Institucional,2024-04-10
154,natalia_jimenez597@icloud.com,Personal,2024-03-29
155,montserratfuentes@universidad-sysac.edu.mx,Institucional,2024-01-25
155,montserratfuentes271@hotmail.com,Personal,2024-06-25
156,camila_medina@universidad-sysac.edu.mx,Institucional,2024-09-04
156,camila.medina98@yahoo.com,Personal,2024-09-09
157,luis_sandoval@universidad-sysac.edu.mx,Institucional,2024-09-12
157,luis_sandoval89@outlook.com,Personal,2024-05-27
158,alejandro_hernandez@universidad-sysac.edu.mx,Institucional,2024-12-13
158,alejandro.hernandez@live.com.mx,personal,2024-10-12
159,roberto_dominguez@universidad-sysac.edu.mx,Institucional,2024-10-18
159,roberto_dominguez@outlook.com,Personal,2024-12-26
160,citlaliestrada@universidad-sysac.edu.mx,Institucional,2024-03-09
161,angel_valencia@universidad-sysac.edu.mx,Institucional,2024-04-17
162,santiago.gonzalez@universidad-sysac.edu.mx,Institucional,2024-10-22
163,vanessarojas@universidad-sysac.edu.mx,Institucional,2024-07-07
163,vanessarojas87@live.com.mx,Personal,2024-09-04
164,citlali.fuentes@universidad-sysac.edu.mx,Institucional,2024-11-17
165,jessicamartinez@universidad-sysac.edu.mx,Institucional,2024-12-26
165,jessica_martinez@yahoo.com,Personal,2024-09-27
166,leticiavargas@universidad-sysac.edu.mx,Institucional,2024-01-10
166,leticiavargas@yahoo.com.mx,Personal,2025-01-30
167,francisco_nunez@universidad-sysac.edu.mx,Institucional,2024-06-28
167,francisco_nunez347@hotmail.com,Personal,2024-05-15
168,armandoestrada@universidad-sysac.edu.mx,Institucional,2024-04-20
168,armando.estrada763@icloud.com,Personal,2024-11-06
169,fernando_mendoza@universidad-sysac.edu.mx,Institucional,2024-11-24
169,fernando.mendoza95@outlook.com,Personal,2024-09-29
170,nestor_sanchez@universidad-sysac.edu.mx,Institucional,2024-02-10
170,nestor_sanchez192@outlook.com,Personal,2024-04-13
171,andres_rojas@universidad-sysac.edu.mx,Institucional,2024-04-29
172,catalina_figueroa@universidad-sysac.edu.mx,Institucional,2024-01-05
173,guadalupe.navarro@universidad-sysac.edu.mx,Institucional,2024-03-24
173,guadalupe_navarro83@hotmail.com,Personal,2024-09-19
174,carolina_martinez@universidad-sysac.edu.mx,Institucional,2025-01-23
174,carolinamartinez92@protonmail.com,Personal,2024-03-19
175,diana_tellez@universidad-sysac.edu.mx,Institucional,2024-11-01
176,irmagarcia@universidad-sysac.edu.mx,Institucional,2024-01-20
176,irmagarcia199@icloud.com,Personal,2025-01-24
177,david.navarro@universidad-sysac.edu.mx,Institucional,2024-01-20
177,david.navarro@hotmail.com,Personal,2024-06-06
178,cecilia.vazquez@universidad-sysac.edu.mx,Institucional,2024-07-04
178,cecilia.vazquez97@icloud.com,Personal,2024-03-30
179,gabriela.cruz@universidad-sysac.edu.mx,Institucional,2024-10-01
180,perladiaz@universidad-sysac.edu.mx,Institucional,2024-07-10
181,sofia.cervantes@universidad-sysac.edu.mx,Institucional,2024-11-17
181,sofiacervantes664@icloud.com,Personal,2024-09-14
182,itzellara@universidad-sysac.edu.mx,Institucional,2024-12-08
182,itzellara93@yahoo.com.mx,Personal,2024-01-19
183,karla.espinoza@universidad-sysac.edu.mx,Institucional,2024-08-12
183,karla_espinoza89@yahoo.com.mx,Personal,2024-09-14
184,reginafigueroa@universidad-sysac.edu.mx,Institucional,2024-10-08
185,uriel_gomez@universidad-sysac.edu.mx,Institucional,2024-11-26
185,uriel.gomez83@live.com.mx,Personal,2024-07-29
186,diego_soto@universidad-sysac.edu.mx,Institucional,2024-10-08
187,rodrigo_cortes@universidad-sysac.edu.mx,Institucional,2024-10-26
187,rodrigo.cortes90@yahoo.com,Personal,2024-03-02
188,cesar.medina@universidad-sysac.edu.mx,Institucional,2024-06-05
188,cesar.medina843@protonmail.com,Personal,2024-09-08
189,ceciliazavala@universidad-sysac.edu.mx,Institucional,2024-08-07
189,cecilia.zavala882@yahoo.com.mx,Personal,2024-08-08
190,lucia.diaz@universidad-sysac.edu.mx,Institucional,2024-09-01
190,lucia.diaz@yahoo.com,Personal,2024-01-18
191,cecilia.suarez@universidad-sysac.edu.mx,Institucional,2024-09-18
191,cecilia.suarez@yahoo.com,Personal,2024-07-30
192,eduardosanchez@universidad-sysac.edu.mx,Institucional,2025-01-21
192,eduardo_sanchez81@live.com.mx,Personal,2024-06-29
193,pedroherrera@universidad-sysac.edu.mx,Institucional,2024-06-02
193,pedroherrera95@yahoo.com,Personal,2024-12-10
194,cristian_molina@universidad-sysac.edu.mx,Institucional,2024-04-24
194,cristian.molina@live.com.mx,Personal,2024-09-10
195,ivan_silva@universidad-sysac.edu.mx,Institucional,2025-01-16
195,ivan_silva@gmail.com,Personal,2024-10-10
196,laura_torres@universidad-sysac.edu.mx,Institucional,2024-12-27
197,alejandro_soto@universidad-sysac.edu.mx,Institucional,2024-07-03
197,alejandro.soto@hotmail.com,Personal,2024-08-14
198,ramon.jimenez@universidad-sysac.edu.mx,Institucional,2024-01-05
198,ramonjimenez254@gmail.com,personal ,2024-07-25
199,paolasalazar@universidad-sysac.edu.mx,Institucional,2024-05-04
199,paolasalazar@icloud.com,Personal,2024-01-20
200,luisbautista@universidad-sysac.edu.mx,Institucional,2025-02-01
200,luis.bautista@yahoo.com.mx,Personal,2024-10-19
201,eduardo.vazquez@universidad-sysac.edu.mx,Institucional,2024-03-12
202,andreatellez@universidad-sysac.edu.mx,Institucional,2024-06-30
202,andreatellez95@gmail.com,Personal,2024-06-12
203,elena.romero@universidad-sysac.edu.mx,Institucional,2024-12-05
203,elenaromero148@live.com.mx,Personal,2024-12-31
204,gerardo.mejia@universidad-sysac.edu.mx,Institucional,2024-07-28
204,gerardo.mejia@yahoo.com.mx,Personal,2024-04-12
205,carolinaperez@universidad-sysac.edu.mx,Institucional,2024-05-02
205,carolina.perez872@gmail.com,Personal,2024-10-28
206,armando_perez@universidad-sysac.edu.mx,Institucional,2025-01-28
207,ismaelmorales@universidad-sysac.edu.mx,Institucional,2024-11-22
207,ismaelmorales@icloud.com,Personal,2024-03-12
208,santiagoromero@universidad-sysac.edu.mx,Institucional,2024-09-11
208,santiagoromero85@protonmail.com,Personal,2024-04-12
209,raultorres@universidad-sysac.edu.mx,Institucional,2024-12-11
209,raul_torres@hotmail.com,PERSONAL,2024-05-03
210,adrianaromero@universidad-sysac.edu.mx,Institucional,2024-05-20
210,adriana.romero800@gmail.com,Personal,2024-08-06
211,javiervargas@universidad-sysac.edu.mx,Institucional,2024-02-27
211,javiervargas91@outlook.com,Personal,2025-01-12
212,itzel_contreras@universidad-sysac.edu.mx,Institucional,2024-04-02
213,mateo_palacios@universidad-sysac.edu.mx,Institucional,2024-05-29
214,saul_fuentes@universidad-sysac.edu.mx,Institucional,2024-06-07
214,saul.fuentes98@yahoo.com,Personal,2024-06-22
215,rosa_alvarez@universidad-sysac.edu.mx,Institucional,2024-07-31
215,rosa_alvarez@protonmail.com,Personal,2024-08-24
216,jessica_contreras@universidad-sysac.edu.mx,Institucional,2024-08-17
217,dulce_suarez@universidad-sysac.edu.mx,Institucional,2024-04-23
218,perla_rivera@universidad-sysac.edu.mx,Institucional,2024-08-17
218,perlarivera95@hotmail.com,Personal,2024-07-06
219,ariadna_velazquez@universidad-sysac.edu.mx,Institucional,2024-03-23
219,ariadna.velazquez83@live.com.mx,personal ,2024-10-21
220,patriciaperez@universidad-sysac.edu.mx,Institucional,2024-09-09
221,ignacioflores@universidad-sysac.edu.mx,Institucional,2024-05-05
221,ignacio.flores89@gmail.com,Personal,2024-03-28
222,nestor_ortiz@universidad-sysac.edu.mx,Institucional,2024-11-14
222,nestor.ortiz@outlook.com,Personal,2024-12-22
223,carmen_valencia@universidad-sysac.edu.mx,Institucional,2024-05-27
223,carmenvalencia603@icloud.com,Personal,2024-12-13
224,natalia.carmona@universidad-sysac.edu.mx,Institucional,2024-10-18
224,nataliacarmona690@yahoo.com.mx,Personal,2024-03-10
225,susanamorales@universidad-sysac.edu.mx,Institucional,2024-08-30
225,susana_morales84@icloud.com,PERSONAL,2024-07-24
226,felipe.lara@universidad-sysac.edu.mx,Institucional,2024-08-10
226,felipe.lara@hotmail.com,Personal,2024-07-22
227,rafael_jimenez@universidad-sysac.edu.mx,Institucional,2025-01-30
227,rafael_jimenez392@protonmail.com,Personal,2024-07-21
228,sergiohernandez@universidad-sysac.edu.mx,Institucional,2024-09-25
228,sergio_hernandez@protonmail.com,Personal,2024-07-14
229,rodrigo.cruz@universidad-sysac.edu.mx,Institucional,2024-01-14
230,gerardo.garcia@universidad-sysac.edu.mx,Institucional,2024-07-22
230,gerardogarcia@protonmail.com,Personal,2024-09-25
231,diana_romero@universidad-sysac.edu.mx,Institucional,2024-01-03
231,diana_romero641@yahoo.com.mx,Personal,2024-12-14
232,perla.figueroa@universidad-sysac.edu.mx,Institucional,2024-08-21
232,perlafigueroa93@yahoo.com.mx,Personal,2024-11-24
233,juan.ruiz@universidad-sysac.edu.mx,Institucional,2025-01-07
233,juan.ruiz420@hotmail.com,Personal,2024-01-06
234,gabriel.tellez@universidad-sysac.edu.mx,Institucional,2024-02-15
234,gabriel_tellez673@yahoo.com,Personal,2024-01-23
235,kevinmoreno@universidad-sysac.edu.mx,Institucional,2024-02-27
235,kevin_moreno@live.com.mx,Personal,2025-01-07
236,rosacarmona@universidad-sysac.edu.mx,Institucional,2024-06-14
236,rosa_carmona@outlook.com,Personal,2024-05-13
237,martin.rosales@universidad-sysac.edu.mx,Institucional,2024-09-09
238,cesar.contreras@universidad-sysac.edu.mx,Institucional,2024-12-19
238,cesar.contreras@yahoo.com.mx,Personal,2024-08-09
239,ramon_gomez@universidad-sysac.edu.mx,Institucional,2024-06-11
240,david_lara@universidad-sysac.edu.mx,Institucional,2024-05-07
240,david_lara915@protonmail.com,Personal,2024-12-22
241,juan.fuentes@universidad-sysac.edu.mx,Institucional,2024-09-19
241,juanfuentes@gmail.com,Personal,2024-04-11
