SID,CALLE,COLONIA,MUNICIPIO,ENTIDAD,CP,FECHA_ACT
82,Av. Canal de Miramontes 325 Int. 9,Condesa,Miguel Hidalgo,Ciudad de México,02040,2024-10-10
83,Av. Tláhuac 415 Int. 7,Lindavista,Magdalena Contreras,Ciudad de México,10300,2024-11-25
84,Eje 2 Norte 214 Int. 19,Aragón,Tláhuac,Ciudad de México,08800,2024-07-08
85,Calle Isabel la Católica 962, Iztapalapa,Gustavo A. Madero,Ciudad de México,14000,2024-07-03
86,Calle 16 de Septiembre 594 Int. 7,Iztapalapa,Venustiano Carranza,Ciudad de México,09900,2025-02-14
87,Periférico Sur 110,Portales,Cuajimalpa,Ciudad de México,11650,2024-06-03
88,Av. Canal de Miramontes 179,Del Carmen,Azcapotzalco,Ciudad de México,06600,2024-07-23
89,Calle Donceles 62,Centro,Metepec,Estado de México,55234,2024-11-10
90,Av. Taxqueña 369,Cuauhtémoc,Xochimilco,Ciudad de México,09320,2024-12-10
91,Eje 8 Sur 345 Int. 16,Del Valle,Azcapotzalco,Ciudad de México,11650,2024-06-20
92,Av. Canal de Miramontes 917 Int. 13,Portales,Atizapán de Zaragoza,Estado de México,53140,2024-12-16
93,Av. Coyoacán 248 Int. 19,San Rafael,Iztacalco,Ciudad de México,,2024-07-16
94,Calz. Ermita Iztapalapa 841,Moctezuma,Iztapalapa,Ciudad de México,04010,2024-12-11
95,Calz. de la Viga 444,Coapa,Álvaro Obregón,Ciudad de México,14250,2025-01-23
96,Calle Pino Suárez 406 Int. 6,San Lorenzo Tezonco,La Paz,ESTADO DE MÉXICO,55260,2024-11-24
97,Calle Pino Suárez 703,Country Club,Gustavo A. Madero,Ciudad de México,15460,2025-02-07
98,Viaducto Miguel Alemán 125 Int. 10,Tlalpan,Venustiano Carranza,Ciudad de México,11850,2024-11-08
99,Calz. de Tlalpan 141,Anzures,Tultitlán,Estado de México,56258,2024-12-03
100,Calle Leibniz 725,Xochimilco,Magdalena Contreras,Ciudad de México,09780,2024-07-31
101,Av. Reforma 851 Int. 5,San Ángel,Iztacalco,Ciudad de México,14735,2024-09-15
102,Eje 3 Norte 111,Moctezuma,Coyoacán,Ciudad de México,09360,2024-07-10
103,Eje 6 Sur 454 Int. 19,Azcapotzalco,Cuauhtémoc,Ciudad de México,13040,2025-02-27
104,Av. Cuauhtémoc 960 Int. 18,Pedregal,Cuajimalpa,Ciudad de México,04200,2024-10-12
105,Eje 3 Norte 868 Int. 15,San Rafael,Miguel Hidalgo,Ciudad de México,07200,2025-02-02
106,Calle República de Cuba 184 Int. 9,Centro,Cuajimalpa,Ciudad de México,,2025-01-14
107,Eje 1 Norte 182 Int. 20,Del Carmen,Iztapalapa,Ciudad de México,09920,2025-02-09
108,Av. Chapultepec 638 Int. 8,Lindavista,Álvaro Obregón,Ciudad de México,15840,2024-10-22
109,Av. Hidalgo 585,Milpa Alta,Venustiano Carranza,Ciudad de México,07100,2024-12-27
110,Av. Insurgentes 69,Balbuena,Cuajimalpa,Ciudad de México,07030,2024-11-10
111,Calle Euler 523 Int. 13,Granada,Toluca,Estado de México,50290,2024-10-31
112,Eje 1 Norte 914 Int. 19,Escandón,Ixtapaluca,Estado de México,50170,2024-08-31
113,Eje Central 93 Int. 20,San Jerónimo,Azcapotzalco,Ciudad de México,09000,2024-12-21
114,Av. División del Norte 945,Milpa Alta,Toluca,Estado de México,55025,2025-01-31
115,Av. Taxqueña 915,Roma Sur,Iztapalapa,Ciudad de México,11420,2025-01-04
116,Calle Correo Mayor 161,Buenos Aires,Cuauhtémoc,Ciudad de México,06700,2024-12-23
117,Calle Bolívar 764,General Anaya,Nezahualcóyotl,Estado de México,54280,2024-08-14
118,Calle Uruguay 21,Agrícola Oriental,Centro,Coahuila,92280,2024-10-25
119,Av. Reforma 749,Aragón,Magdalena Contreras,Ciudad de México,11700,2024-10-18
120,Av. Universidad 50,Milpa Alta,Álvaro Obregón,Ciudad de México,04100,2024-12-19
121,Viaducto Miguel Alemán 367 Int. 18,Guerrero,Azcapotzalco,Ciudad de México,02080,2024-06-16
122,Eje Central 317,Guerrero,Coacalco,Estado de México,54256,2024-10-22
123,Periférico Sur 39,Granada,Milpa Alta,Ciudad de México,05050,2024-09-30
124,Calle República de Cuba 192 Int. 2,Constitución de 1917,Azcapotzalco,Ciudad de México,06450,2024-11-24
125,Calle Euler 851,Tepito,Tlalpan,Ciudad de México,09720,2024-11-18
126,Av. Hidalgo 479,San Rafael,La Paz,Estado de México,56295,2024-07-25
127,Calle Madero 458 Int. 6,Tepito,Texcoco,Estado de México,,2025-01-21
128,Av. Canal de Miramontes 303 Int. 12,San Rafael,Tlalnepantla,Estado de México,56210,2025-01-19
129,Periférico Sur 885 Int. 19,Tlacopac,Iztacalco,Ciudad de México,15610,2025-02-11
130,Calle Uruguay 261 Int. 3,Churubusco,Gustavo A. Madero,Ciudad de México,15040,2024-10-03
131,Av. Cuauhtémoc 304,Escandón,Coyoacán,Ciudad de México,14040,2024-07-13
132,Calle Isabel la Católica 683 Int. 19,Del Valle,La Paz,Estado de México,55027,2024-11-16
133,Av. Universidad 882,Roma Sur,Xochimilco,Ciudad de México,15480,2024-08-28
134,Av. Canal de Miramontes 150 Int. 13,San Jerónimo,Xochimilco,Ciudad de México,09500,2024-11-03
135,Calle República de Cuba 640,Tlalpan,Xochimilco,Ciudad de México,15500,2024-12-31
136,Eje 3 Norte 531 Int. 6,Moctezuma,Iztapalapa,Ciudad de México,13020,2024-11-29
137,Calle Donceles 161,San Rafael,Coyoacán,Ciudad de México,03100,2024-09-15
138,Av. Revolución 507 Int. 13, Florida,Chalco,Estado de México,55014,2024-06-17
139,Av. Hidalgo 954,Escandón,Venustiano Carranza,Ciudad de México,15510,2024-09-29
140,Av. Revolución 886,Escandón,Nezahualcóyotl,Estado de México,55286,2024-10-12
141,Av. Hidalgo 669,Centro,Iztapalapa,Ciudad de México,13400,2024-12-03
142,Eje 2 Norte 858 Int. 7,Tlalpan,tlalpan,Ciudad de México,14735,2025-02-15
143,Av. Reforma 964,Tacubaya,Gustavo A. Madero,Ciudad de México,15820,2024-07-03
144,Av. Reforma 655,Azcapotzalco,La Paz,Estado de México,55425,2024-09-07
145,Calle Leibniz 602 Int. 8,OBRERA,Huixquilucan,Estado de México,54400,2025-01-22
146,Calle Tacuba 413 Int. 1,Tabacalera,Cuajimalpa,Ciudad de México,15880,2024-12-16
147,Eje 5 Sur 684 Int. 15,Magdalena Contreras,Cuajimalpa ,Ciudad de México,11430,2024-09-08
148,Eje 8 Sur 591,Moctezuma,Magdalena Contreras,Ciudad de México,16060,2025-01-12
149,Calle Correo Mayor 692,Portales,Nezahualcóyotl,Estado de México,54040,2024-10-16
150,Av. Reforma 933 Int. 10,COYOACÁN,Xochimilco,Ciudad de México,13010,2024-11-06
151,Av. Aztecas 617,Anzures,Coyoacán,Ciudad de México,03300,2025-01-20
152,Av. Insurgentes 18 Int. 20,Lomas de Chapultepec,Coyoacán, Ciudad de México,11010,2025-02-18
153,Calle Donceles 271 Int. 19,Narvarte,Tláhuac,Ciudad de México,14050,2024-08-21
154,Calle Isabel la Católica 560,Morelos,Naucalpan,Estado de México,55390,2024-11-01
155,Calle Pino Suárez 906,Mixcoac,Miguel Hidalgo,Ciudad de México,04300,2024-07-15
156,Calle República de Cuba 938,Cuauhtémoc,Tláhuac,Ciudad de México,13600,2024-06-02
157,Av. Revolución 894,Santa Úrsula,Chalco,Estado de México,054260,2024-11-30
158,Periférico Sur 704,ANZURES,Tultitlán,Estado de México,56264,2024-10-05
159,Eje 1 Poniente 331,Tepito,Tláhuac,Ciudad de México,13060,2024-09-21
160,Av. Tlalpan 752,Portales,Gustavo A. Madero,Ciudad de México,06040,2024-09-29
161,Av. Coyoacán 441,Doctores,Milpa Alta,Ciudad de México ,14640,2024-12-13
162,Circuito Interior 223,Aragón,Álvaro Obregón,Ciudad de México,09510,2024-10-01
163,Av. Chapultepec 940,Portales,Tlalnepantla,Estado de México,50000,2024-06-16
164,Eje Central 64,Anzures,Cuajimalpa,Ciudad de México,14080,2024-06-19
165,Calle Pitágoras 102,Balbuena,Benito Juárez,Ciudad de México,O688O,2024-06-13
166,Calz. de Tlalpan 446 Int. 5,Roma Sur,Ixtapaluca,Estado de México,54150,2024-09-15
167,Calle Leibniz 153,Santa Catarina,Cuauhtémoc,Ciudad de México,06700,2025-02-19
168,Calle Correo Mayor 677,Xochimilco,Venustiano Carranza,Ciudad de México,13040,2024-09-08
169,Calle Madero 166,Del Valle,Azcapotzalco, Ciudad de México,12000,2024-08-16
170,Av. Taxqueña 111 Int. 20,Polanco,Coacalco,Estado de México,52150,2024-11-27
171,Calz. de Tlalpan 455 Int. 1,San Lorenzo Tezonco,Cuauhtémoc,Ciudad de México,03020,2024-07-20
172,Eje 3 Norte 73,Mixcoac,Tláhuac,Ciudad de México,02010,2024-09-01
173,Calle Tacuba 300,Balbuena,Venustiano Carranza,Ciudad de México,15490,2024-08-22
174,Av. Coyoacán 554 Int. 7,San Rafael,Miguel Hidalgo,Ciudad de México,09840,2024-12-01
175,Eje 1 Norte 165,Mixcoac,Álvaro Obregón,Ciudad de México,15800,2024-11-07
176,Calle Tacuba 142 Int. 7,Balbuena,Iztacalco,Ciudad de México,12400,2025-01-12
177,Av. Cuauhtémoc 810 Int. 7,Roma Norte,Milpa Alta,Ciudad de México,06720,2024-08-04
178,Av. Juárez 257,Tláhuac,Tlalnepantla,Estado de México,56158,2024-12-14
179,Eje 3 Norte 86,Guerrero,Iztapalapa,Ciudad de México,11840,2024-10-28
180,Av. Revolución 27 Int. 3,Churubusco,Tlalnepantla,Estado de México,55056,2024-06-21
181,Calle Leibniz 778,San Ángel,Magdalena Contreras,Ciudad de México,09310,2024-12-03
182,Eje 2 Norte 802,Polanco,Huixquilucan,Estado de México,53220,2024-12-05
183,Eje Central 84,Tacubaya,Magdalena Contreras,Ciudad de Mexico,14390,2024-06-09
184,Calle Moneda 492 Int. 1,Polanco,Metepec,Estado de México,55056,2024-08-15
185,Periférico Norte 391,Milpa Alta,Huixquilucan,Estado de México,55420,2024-06-07
186,Av. Taxqueña 136 Int. 1,Magdalena Contreras,Xochimilco,Ciudad de México,09020,2025-02-11
187,Calz. Ignacio Zaragoza 263,Culhuacán,Ixtapaluca,Estado de México,55384,2024-10-10
188,Calle Moneda 609,Guerrero,Nezahualcóyotl,Estado de México,55310,2024-06-13
189,Eje 3 Sur 15,Centro,Tlalpan,Ciudad de México,10300,2024-09-07
190,Av. Chapultepec 549,Polanco,Xochimilco,Ciudad de México,13040,2024-10-28
191,Eje 7 Sur 233,Coyoacán,Magdalena Contreras,Ciudad de México,15900,2024-08-16
192,Eje 8 Sur 743,Magdalena Contreras,Gustavo A. Madero,Ciudad de México,09710,2024-07-05
193,Calz. de Tlalpan 511 Int. 5,Churubusco,Xochimilco,Ciudad de México,9100,2025-02-06
194,Av. Hidalgo 573,Florida ,Texcoco,Estado de México,50160,2024-07-02
195,Av. Cuauhtémoc 616,San Rafael,Álvaro Obregón,Ciudad de México,09450,2024-08-08
196,Av. Hidalgo 866 Int. 5,Tacubaya,Cuajimalpa,Ciudad de México,,2025-01-04
197,Periférico Norte 608,Tlacopac,Álvaro Obregón,Ciudad de México,13530,2024-06-10
198,Calle Pitágoras 996,Roma Norte,Tlalpan,Ciudad de México,15070,2024-12-28
199,Av. Coyoacán 906 Int. 16,Roma Norte,Cuauhtémoc,Ciudad de México,13400,2024-11-30
200,Eje 7 Sur 773 Int. 11,Agrícola Oriental,Iztapalapa,Ciudad de México,09020,2024-10-31
201,Calz. Ignacio Zaragoza 922 Int. 19,Ajusco, Coacalco,Estado de México,55130,2024-12-10
202,Calle Uruguay 21 Int. 14,Morelos,Azcapotzalco,Ciudad de México,09000,2024-11-22
203,Eje 1 Poniente 568,Narvarte,gustavo a. madero,Ciudad de México,14070,2025-03-01
204,Av. Tlalpan 354 Int. 8,Tlacopac,Venustiano Carranza,Ciudad de México,07060,2024-09-18
205,Av. Revolución 848 Int. 1,Roma Norte,Milpa Alta,Ciudad de México,06840,2024-08-29
206,Calle Moneda 168,Tacubaya,Iztacalco,Ciudad de México,14270,2024-12-04
207,Av. Coyoacán 335 Int. 11,Florida,Cuauhtémoc,Ciudad de México,09080,2024-10-08
208,Eje 8 Sur 467 Int. 9,Coyoacán,Milpa Alta,Ciudad de México,09310,2025-01-17
209,Calle Donceles 720 Int. 13,Santa Catarina,Cuauhtémoc,Ciudad de México,13360,2024-06-05
210,Calle Pino Suárez 512 Int. 10,San Ángel,Álvaro Obregón,Ciudad de México,15820,2025-01-28
211,Calle Donceles 578,Condesa,Iztapalapa,Ciudad de México,09860,2024-06-04
212,Calle Pino Suárez 705 Int. 11,Escandón,Benito Juárez,Ciudad de México,09720,2024-09-01
213,Calle Pino Suárez 604,Jardines del Pedregal,Huixquilucan,Estado de México,55384,2024-09-11
214,Calle Bolívar 372 Int. 19,Tláhuac,Centro,Baja California Sur,88275,2024-09-24
215,Eje 4 Sur 53 Int. 19,Iztapalapa,Azcapotzalco,Ciudad de México,15010,2025-02-28
216,Calle Euler 375,Jardines del Pedregal,Milpa  Alta,ciudad de méxico,08020,2025-02-06
217,Calle Euler 520,Tepito,Centro,NUEVO LEÓN,36085,2024-07-10
218,Calle Tacuba 651,irrigación,Benito Juárez,ciudad de méxico,12100,2025-02-18
219,Eje Central 901,Country Club,Centro,Colima,81371,2025-01-06
220,Av. Universidad 658 Int. 2,Guerrero,Centro,Veracruz,61535,2024-06-24
221,Calle Madero 935,Obrera,Tláhuac,Ciudad de México,11570,2024-08-25
222,Eje 5 Sur 625 Int. 15,Del Valle,Gustavo A. Madero,Ciudad de México,12300,2024-09-19
223,Eje 2 Norte 560,Jardines del Pedregal,Xochimilco,Ciudad de México,09320,2024-07-03
224,Circuito Interior 703,Azcapotzalco,Coyoacan,Ciudad de México,05110,2025-01-18
225,Av. Taxqueña 957 Int. 19,Portales ,Cuajimalpa,Ciudad de México,01060,2025-02-26
226,Calle Bolívar 364 Int. 19,Granada,Nezahualcóyotl,Estado de México,55310,2025-02-02
227,Calle Bolívar 177 Int. 7,Anzures,Gustavo A. Madero,Ciudad de México,15000,2024-07-04
228,Av. Juárez 415,Verónica Anzures,Chalco,Estado de México,50130,2025-01-23
229,Eje Central 347 Int. 11,Tabacalera,Gustavo A. Madero,Ciudad de México,15020,2025-01-30
230,Av. Reforma 423 Int. 12,San Rafael,Iztapalapa,Ciudad de México,09870,2024-06-13
231,Calle Donceles 110,Milpa Alta,Nezahualcóyotl,Estado de México,55270,2024-09-15
232,Av. Hidalgo 98 Int. 12,Anzures,Tlalpan,Ciudad de México,09260,2025-01-28
233,Calle 16 de Septiembre 557,Industrial Vallejo,Magdalena Contreras,Ciudad de México,01010,2024-09-30
234,Av. Cuauhtémoc 496 Int. 12,Azcapotzalco,Iztapalapa,Ciudad de México,11820,2024-09-04
235,Av. Tlalpan 742,Polanco,Centro,Yucatán,36255,2024-12-06
236,Calz. Ermita Iztapalapa 537,Tlalpan,Álvaro Obregón,Ciudad de México,15010,2024-08-05
237,Calle Leibniz 993,Del Valle,Xochimilco,Ciudad de México,07030,2024-08-25
238,Av. Aztecas 468 Int. 1,Industrial Vallejo,Zinacantepec,Estado de México,54245,2024-12-01
239,Eje 6 Sur 92 Int. 16,Coyoacán,Tláhuac,Ciudad de México,15030,2024-11-10
240,Av. Canal de Miramontes 674,Xochimilco,Azcapotzalco,Ciudad de Mexico,06250,2024-08-20
241,Eje 6 Sur 550 Int. 5,Balbuena,Metepec,Estado de México,55338,2024-08-22
242,Av. Universidad 121,Condesa,Tultitlán,Estado de México,55050,2024-06-25
243,Eje 6 Sur 21,Florida,Magdalena Contreras,Ciudad de México,06880,2025-02-10
244,Calz. de la Viga 962 Int. 8,Tepito,Iztacalco,Ciudad de México,09360,2024-11-03
245,Calle Moneda 339 Int. 14,Milpa Alta, Centro,Sinaloa,58888,2025-01-07
246,Calle República de Cuba 982,Morelos,Iztacalco,Ciudad de México,01040,2024-08-27
247,Calle Donceles 412,Country Club,Tláhuac,Ciudad de México,13300,2024-07-21
248,Av. Juárez 763,Doctores,Miguel Hidalgo,Ciudad de México,13050,2024-12-09
249,Calle Moneda 522,Cuauhtémoc,Azcapotzalco ,Ciudad de México,14240,2025-01-11
250,Calle Bolívar 770 Int. 13,guerrero,Huixquilucan,Estado de México,5329O,2024-10-18
251,Calle 16 de Septiembre 632 Int. 17,Granada,Iztapalapa,Ciudad de México,15320,2024-08-20
252,Eje 8 Sur 197,Florida,Cuauhtémoc,Ciudad de México,09089,2024-06-08
253,Av. Hidalgo 943 Int. 14,Culhuacán,Iztacalco,Ciudad de México,10800,2024-09-25
254,Calz. de Tlalpan 951 Int. 7,Churubusco,Cuautitlán Izcalli,Estado de México,56355,2024-07-17
255,Calz. Ignacio Zaragoza 339 Int. 8,Juárez,Xochimilco,Ciudad de México,04300,2024-08-02
256,Av. Juárez 517,Santa Catarina,Tláhuac,Ciudad de México,14310,2024-06-09
257,Eje 8 Sur 202 Int. 9,Narvarte,Zinacantepec,Estado de México,56356,2024-10-31
258,Av. Tláhuac 272 Int. 20,Country Club,Tlalpan,Ciudad de México,09630,2024-06-24
259,Calle Isabel la Católica 889,Azcapotzalco,Chalco,Estado  de  México,55315,2024-07-07
260,Eje 1 Norte 33,Milpa Alta,Milpa Alta,Ciudad de México ,14270,2024-07-11
261,Av. Juárez 480,Constitución de 1917,Cuajimalpa,Ciudad de México,01080,2024-08-31
262,Periférico Norte 836 Int. 12,Escandón,Milpa Alta,Ciudad de México,05050,2024-07-11
263,Calle Pitágoras 440,Culhuacán,Cuauhtémoc,ciudad de méxico,09230,2024-06-25
264,Calle 5 de Mayo 402 Int. 19,Morelos,Tlalpan,Ciudad de México,11430,2024-09-16
265,Av. Chapultepec 825 Int. 9,Irrigación,Azcapotzalco,Ciudad de México,14700,2025-02-10
266,Av. Canal de Miramontes 708,Doctores,Tláhuac,Ciudad de México,09520,2024-09-05
267,Av. División del Norte 271,Centro,COYOACÁN,Ciudad de México,14060,2025-01-15
268,Eje 1 Norte 90,Granada,Milpa Alta,Ciudad de México,16070,2024-11-01
269,Calle 16 de Septiembre 245,Obrera,Tlalpan,Ciudad de México,06500,2024-09-16
270,Av. División del Norte 752,Milpa Alta,Metepec,Estado de México,52282,2024-11-24
271,Calle Madero 652,Coapa,Coyoacán,Ciudad de México,15050,2024-06-08
272,Calle 5 de Mayo 836,Mixcoac,Milpa Alta,Ciudad de México,08500,2025-02-23
273,Calle Euler 539 Int. 7,Polanco,Coyoacán,Ciudad de México,06600,2024-11-07
274,Eje 4 Sur 37,Magdalena Contreras,Benito Juárez,Ciudad de México,11490,2025-01-26
275,Eje 6 Sur 651 Int. 6,Tabacalera,Azcapotzalco,Ciudad de México,06760,2024-07-23
276,Av. Coyoacán 865,Condesa,Texcoco,Estado de México,55418,2025-02-04
277,Av. Revolución 545 Int. 4,Florida,Cuauhtémoc,Ciudad de México,11020,2024-11-08
278,Av. Hidalgo 853 Int. 1,Coapa,Álvaro Obregón,Ciudad de México,09030,2024-12-26
279,Eje Central 761 Int. 19,Magdalena Contreras,XOCHIMILCO,Ciudad de México,05030,2024-11-05
280,Calle Isabel la Católica 967 Int. 10,Lomas  de  Chapultepec,Chalco,Estado de México,52190,2024-08-20
281,Av. División del Norte 107,Condesa,GUSTAVO A. MADERO,Ciudad de México,13430,2024-08-04
282,Av. División del Norte 683,Anzures,Naucalpan,Estado de México,50200,2024-08-30
283,Av. Hidalgo 677,Tlalpan,Xochimilco,Ciudad de México,15800,2024-07-10
284,Av. Taxqueña 695,Tláhuac,Xochimilco,Ciudad de México,11200,2025-02-24
